"","version","compare_name"
"2004","eDNA, top 500","Liopropoma erythraeum"
"2007","eDNA, top 500","Lioscorpius longiceps"
"2034","eDNA, top 500","Lophiogobius ocellicauda"
"2061","eDNA, top 500","Lutjanus timoriensis"
"2065","eDNA, top 500","Lycenchelys albomaculata"
"2066","eDNA, top 500","Lycenchelys aurantiaca"
"2071","eDNA, top 500","Lycenchelys hippopotamus"
"2073","eDNA, top 500","Lycenchelys kolthoffi"
"2074","eDNA, top 500","Lycenchelys melanostomias"
"2077","eDNA, top 500","Lycenchelys muraena"
"2080","eDNA, top 500","Lycenchelys rassi"
"2082","eDNA, top 500","Lycenchelys remissaria"
"2083","eDNA, top 500","Lycenchelys sarsii"
"2084","eDNA, top 500","Lycenchelys squamosa"
"2085","eDNA, top 500","Lycenchelys tohokuensis"
"2086","eDNA, top 500","Lycengraulis grossidens"
"2092","eDNA, top 500","Lycodapus microchir"
"2097","eDNA, top 500","Lycodes adolfi"
"2102","eDNA, top 500","Lycodes caudimaculatus"
"2106","eDNA, top 500","Lycodes esmarkii"
"2107","eDNA, top 500","Lycodes eudipleurostictus"
"2108","eDNA, top 500","Lycodes fasciatus"
"2109","eDNA, top 500","Lycodes hubbsi"
"2110","eDNA, top 500","Lycodes japonicus"
"2111","eDNA, top 500","Lycodes lavalaei"
"2112","eDNA, top 500","Lycodes luetkenii"
"2113","eDNA, top 500","Lycodes matsubarai"
"2114","eDNA, top 500","Lycodes mcallisteri"
"2116","eDNA, top 500","Lycodes nakamurae"
"2117","eDNA, top 500","Lycodes ocellatus"
"2118","eDNA, top 500","Lycodes paamiuti"
"2121","eDNA, top 500","Lycodes pallidus"
"2122","eDNA, top 500","Lycodes pectoralis"
"2123","eDNA, top 500","Lycodes polaris"
"2125","eDNA, top 500","Lycodes reticulatus"
"2126","eDNA, top 500","Lycodes rossi"
"2127","eDNA, top 500","Lycodes sadoensis"
"2128","eDNA, top 500","Lycodes seminudus"
"2129","eDNA, top 500","Lycodes sigmatoides"
"2130","eDNA, top 500","Lycodes soldatovi"
"2131","eDNA, top 500","Lycodes sp. ADK-2014"
"2132","eDNA, top 500","Lycodes squamiventer"
"2133","eDNA, top 500","Lycodes tanakae"
"2134","eDNA, top 500","Lycodes teraoi"
"2136","eDNA, top 500","Lycodes toyamensis"
"2138","eDNA, top 500","Lycodes uschakovi"
"2139","eDNA, top 500","Lycodes vahlii"
"2140","eDNA, top 500","Lycodes ygreknotatus"
"2141","eDNA, top 500","Lycodichthys dearborni"
"2142","eDNA, top 500","Lycodonus flagellicauda"
"2143","eDNA, top 500","Lycodonus mirabilis"
"2145","eDNA, top 500","Lycothrissa crocodilus"
"2146","eDNA, top 500","Lycozoarces regani"
"2148","eDNA, top 500","Lythrichthys cypho"
"2149","eDNA, top 500","Lythrichthys longimanus"
"2150","eDNA, top 500","Lythrurus ardens"
"2156","eDNA, top 500","Macrhybopsis aestivalis"
"2157","eDNA, top 500","Macrhybopsis storeriana"
"2158","eDNA, top 500","Macrognathus siamensis"
"2166","eDNA, top 500","Makaira mazara"
"2169","eDNA, top 500","Malacanthus latovittatus"
"2173","eDNA, top 500","Malacocottus gibber"
"2187","eDNA, top 500","Malakichthys barbatus"
"2188","eDNA, top 500","Malakichthys elegans"
"2189","eDNA, top 500","Malakichthys griseus"
"2190","eDNA, top 500","Malakichthys wakiyae"
"2193","eDNA, top 500","Margariscus margarita"
"2195","eDNA, top 500","Marukawichthys ambulator"
"2196","eDNA, top 500","Mastacembelus albomaculatus"
"2197","eDNA, top 500","Mastacembelus apectoralis"
"2198","eDNA, top 500","Mastacembelus ellipsifer"
"2199","eDNA, top 500","Mastacembelus flavidus"
"2200","eDNA, top 500","Mastacembelus mastacembelus"
"2201","eDNA, top 500","Mastacembelus micropectus"
"2202","eDNA, top 500","Mastacembelus plagiostomus"
"2203","eDNA, top 500","Mastacembelus tanganicae"
"2204","eDNA, top 500","Mastacembelus zebratus"
"2213","eDNA, top 500","Megaleporinus garmani"
"2214","eDNA, top 500","Megaleporinus macrocephalus"
"2232","eDNA, top 500","Melanogrammus aeglefinus"
"2235","eDNA, top 500","Melanostigma atlanticum"
"2246","eDNA, top 500","Mene maculata"
"2254","eDNA, top 500","Merlangius merlangus"
"2255","eDNA, top 500","Merluccius albidus"
"2257","eDNA, top 500","Merluccius australis"
"2258","eDNA, top 500","Merluccius bilinearis"
"2259","eDNA, top 500","Merluccius capensis"
"2262","eDNA, top 500","Merluccius hubbsi"
"2263","eDNA, top 500","Merluccius merluccius"
"2265","eDNA, top 500","Merluccius senegalensis"
"2266","eDNA, top 500","Mesocottus haitej"
"2269","eDNA, top 500","Micrenophrys lilljeborgii"
"2273","eDNA, top 500","Microgadus tomcod"
"2280","eDNA, top 500","Micromesistius poutassou"
"2285","eDNA, top 500","Micropterus"
"2286","eDNA, top 500","Micropterus dolomieu"
"2287","eDNA, top 500","Micropterus floridanus"
"2288","eDNA, top 500","Micropterus punctulatus"
"2289","eDNA, top 500","Micropterus salmoides"
"2290","eDNA, top 500","Micropterus salmoides salmoides"
"2291","eDNA, top 500","Micropterus treculii"
"2294","eDNA, top 500","Microsternarchus bilineatus"
"2296","eDNA, top 500","Microstomus achne"
"2297","eDNA, top 500","Microstomus bathybius"
"2298","eDNA, top 500","Microstomus kitt"
"2300","eDNA, top 500","Microthrissa congica"
"2301","eDNA, top 500","Microthrissa royauxi"
"2302","eDNA, top 500","Miichthys miiuy"
"2303","eDNA, top 500","Mikrogeophagus altispinosus"
"2312","eDNA, top 500","Molva dypterygia"
"2314","eDNA, top 500","Monacanthus tuckeri"
"2325","eDNA, top 500","Moxostoma congestum"
"2331","eDNA, top 500","Mugilogobius myxodermus"
"2337","eDNA, top 500","Mullus surmuletus"
"2360","eDNA, top 500","Myloplus asterias"
"2361","eDNA, top 500","Myloplus schomburgkii"
"2362","eDNA, top 500","Myoxocephalus aenaeus"
"2363","eDNA, top 500","Myoxocephalus brandtii"
"2391","eDNA, top 500","Myxodes viridis"
"2392","eDNA, top 500","Myzopsetta ferruginea"
"2393","eDNA, top 500","Myzopsetta punctatissima"
"2395","eDNA, top 500","Nandopsis tetracanthus"
"2402","eDNA, top 500","Nansenia ardesiaca"
"2403","eDNA, top 500","Nansenia candida"
"2405","eDNA, top 500","Nansenia groenlandica"
"2407","eDNA, top 500","Nansenia oblita"
"2409","eDNA, top 500","Narcetes erimelas"
"2410","eDNA, top 500","Narcetes shonanmaruae"
"2430","eDNA, top 500","Nematalosa come"
"2431","eDNA, top 500","Nematalosa erebi"
"2432","eDNA, top 500","Nematalosa japonica"
"2433","eDNA, top 500","Nematalosa nasus"
"2438","eDNA, top 500","Neoachiropsetta milfordi"
"2444","eDNA, top 500","Neoditrema ransonnetii"
"2445","eDNA, top 500","Neoepinnula orientalis"
"2446","eDNA, top 500","Neoglyphidodon polyacanthus"
"2447","eDNA, top 500","Neoharriotta pinnata"
"2448","eDNA, top 500","Neohomaloptera johorensis"
"2449","eDNA, top 500","Neomerinthe erostris"
"2450","eDNA, top 500","Neomerinthe procurva"
"2456","eDNA, top 500","Neosalangichthys ishikawae"
"2458","eDNA, top 500","Neosebastes multisquamus"
"2460","eDNA, top 500","Neozoarces steindachneri"
"2465","eDNA, top 500","Netuma thalassina"
"2474","eDNA, top 500","Niphon spinosus"
"2475","eDNA, top 500","Nocomis leptocephalus"
"2476","eDNA, top 500","Nocomis micropogon"
"2478","eDNA, top 500","Normichthys operosus"
"2480","eDNA, top 500","Notemigonus crysoleucas"
"2486","eDNA, top 500","Notothenia coriiceps"
"2487","eDNA, top 500","Notothenia rossii"
"2488","eDNA, top 500","Notropis baileyi"
"2489","eDNA, top 500","Notropis chalybaeus"
"2490","eDNA, top 500","Notropis chrosomus"
"2491","eDNA, top 500","Notropis hudsonius"
"2492","eDNA, top 500","Notropis lutipinnis"
"2493","eDNA, top 500","Notropis ortenburgeri"
"2494","eDNA, top 500","Notropis telescopus"
"2495","eDNA, top 500","Notropis texanus"
"2497","eDNA, top 500","Obliquogobius sp. KAUM:I:81140"
"2498","eDNA, top 500","Obliquogobius yamadai"
"2500","eDNA, top 500","Occella iburia"
"2502","eDNA, top 500","Odaxothrissa losera"
"2503","eDNA, top 500","Odontamblyopus lacepedii"
"2505","eDNA, top 500","Odontamblyopus rubicundus"
"2506","eDNA, top 500","Odontamblyopus sp. ZL-2016"
"2507","eDNA, top 500","Odontanthias borbonius"
"2525","eDNA, top 500","Oligolepis acutipennis"
"2529","eDNA, top 500","Oligosarcus argenteus"
"2530","eDNA, top 500","Oligosarcus macrolepis"
"2531","eDNA, top 500","Olivaichthys mesembrinus"
"2533","eDNA, top 500","Oncorhynchus apache"
"2534","eDNA, top 500","Oncorhynchus clarkii"
"2536","eDNA, top 500","Oncorhynchus clarkii henshawi"
"2537","eDNA, top 500","Oncorhynchus clarkii stomias"
"2538","eDNA, top 500","Oncorhynchus clarkii virginalis"
"2539","eDNA, top 500","Oncorhynchus formosanus"
"2540","eDNA, top 500","Oncorhynchus gilae"
"2542","eDNA, top 500","Oncorhynchus kawamurae"
"2545","eDNA, top 500","Oncorhynchus masou"
"2546","eDNA, top 500","Oncorhynchus mykiss"
"2547","eDNA, top 500","Oncorhynchus mykiss gairdneri"
"2548","eDNA, top 500","Oncorhynchus mykiss irideus"
"2549","eDNA, top 500","Oncorhynchus mykiss newberrii"
"2550","eDNA, top 500","Oncorhynchus mykiss x Salmo salar"
"2552","eDNA, top 500","Oncorhynchus sp. BIWA-MASU"
"2564","eDNA, top 500","Ophidiiformes sp. RGIP_6980"
"2572","eDNA, top 500","Ophiocara porocephala"
"2575","eDNA, top 500","Ophthalmolycus amberensis"
"2576","eDNA, top 500","Opisthocentrus ocellatus"
"2577","eDNA, top 500","Opisthocentrus tenuis"
"2578","eDNA, top 500","Opisthocentrus zonope"
"2583","eDNA, top 500","Opisthopterus tardoore"
"2584","eDNA, top 500","Opistognathus decorus"
"2585","eDNA, top 500","Opistognathus evermanni"
"2587","eDNA, top 500","Opistognathus hopkinsi"
"2588","eDNA, top 500","Opistognathus iyonis"
"2589","eDNA, top 500","Opistognathus jacksoniensis"
"2593","eDNA, top 500","Opistognathus sp. BSKU:121417"
"2597","eDNA, top 500","Oplegnathus woodwardi"
"2599","eDNA, top 500","Opsariichthys evolans"
"2600","eDNA, top 500","Opsariichthys kaopingensis"
"2601","eDNA, top 500","Opsariichthys pachycephalus"
"2605","eDNA, top 500","Oreoleuciscus potanini"
"2617","eDNA, top 500","Osteoglossum bicirrhosum"
"2625","eDNA, top 500","Otocinclus affinis"
"2626","eDNA, top 500","Otocinclus hoppei"
"2635","eDNA, top 500","Oxyurichthys auchenolepis"
"2636","eDNA, top 500","Oxyurichthys cornutus"
"2638","eDNA, top 500","Oxyurichthys lonchotus"
"2645","eDNA, top 500","Pachychilon pictum"
"2647","eDNA, top 500","Pachyurus bonariensis"
"2650","eDNA, top 500","Pandaka lidwilli"
"2651","eDNA, top 500","Pangasianodon hypophthalmus"
"2652","eDNA, top 500","Pangasius krempfi"
"2653","eDNA, top 500","Pangasius larnaudii"
"2654","eDNA, top 500","Pangasius sanitwongsei"
"2659","eDNA, top 500","Parabotia lijiangensis"
"2662","eDNA, top 500","Parachaeturichthys polynema"
"2674","eDNA, top 500","Paracottus knerii"
"2675","eDNA, top 500","Paradiplospinus antarcticus"
"2677","eDNA, top 500","Parahucho perryi"
"2678","eDNA, top 500","Parakneria cameronensis"
"2684","eDNA, top 500","Paralichthys adspersus"
"2686","eDNA, top 500","Paralichthys albigutta"
"2688","eDNA, top 500","Paralichthys dentatus"
"2689","eDNA, top 500","Paralichthys lethostigma"
"2690","eDNA, top 500","Paralichthys olivaceus"
"2691","eDNA, top 500","Paralichthys squamilentus"
"2696","eDNA, top 500","Paraliparis bathybius"
"2700","eDNA, top 500","Paraliparis copei"
"2703","eDNA, top 500","Paraliparis dipterus"
"2711","eDNA, top 500","Paraliparis meridionalis"
"2718","eDNA, top 500","Paraliparis sp. NSMT P92399"
"2723","eDNA, top 500","Paranemachilus genilepis"
"2732","eDNA, top 500","Parapterois heterura"
"2734","eDNA, top 500","Parascorpaena aurita"
"2735","eDNA, top 500","Parascorpaena mossambica"
"2740","eDNA, top 500","Pareques iwamotoi"
"2759","eDNA, top 500","Pelecus cultratus"
"2760","eDNA, top 500","Pellona ditchela"
"2761","eDNA, top 500","Pellona flavipinnis"
"2762","eDNA, top 500","Pellonula leonensis"
"2763","eDNA, top 500","Pellonula vorax"
"2771","eDNA, top 500","Perca fluviatilis"
"2772","eDNA, top 500","Perca schrenkii"
"2773","eDNA, top 500","Percalates colonorum"
"2774","eDNA, top 500","Perccottus glenii"
"2775","eDNA, top 500","Percina aurantiaca"
"2776","eDNA, top 500","Percina freemanorum"
"2777","eDNA, top 500","Percina peltata"
"2779","eDNA, top 500","Periophthalmodon schlosseri"
"2780","eDNA, top 500","Periophthalmus barbarus"
"2781","eDNA, top 500","Periophthalmus magnuspinnatus"
"2782","eDNA, top 500","Periophthalmus minutus"
"2783","eDNA, top 500","Periophthalmus sp. CBM:ZF:12249"
"2785","eDNA, top 500","Peristedion miniatum"
"2789","eDNA, top 500","Petenia splendida"
"2790","eDNA, top 500","Petroschmidtia albonotatus"
"2797","eDNA, top 500","Phasmatocottus ctenopterygius"
"2799","eDNA, top 500","Pholidapus dybowskii"
"2801","eDNA, top 500","Pholis crassispina"
"2802","eDNA, top 500","Pholis fangi"
"2803","eDNA, top 500","Pholis fasciata"
"2804","eDNA, top 500","Pholis gunnellus"
"2824","eDNA, top 500","Phoxinus bigerri"
"2825","eDNA, top 500","Phoxinus dragarum"
"2826","eDNA, top 500","Phoxinus fayollarum"
"2827","eDNA, top 500","Phoxinus keumkang"
"2828","eDNA, top 500","Phoxinus phoxinus"
"2829","eDNA, top 500","Phoxinus phoxinus tumensis"
"2830","eDNA, top 500","Phoxinus semotilus"
"2831","eDNA, top 500","Phoxinus septimaniae"
"2832","eDNA, top 500","Phoxinus sp. UAIC 14401.01"
"2833","eDNA, top 500","Phoxinus steindachneri"
"2834","eDNA, top 500","Phoxinus ujmonensis"
"2835","eDNA, top 500","Phoxocampus belcheri"
"2844","eDNA, top 500","Piaractus brachypomus"
"2845","eDNA, top 500","Piaractus mesopotamicus"
"2846","eDNA, top 500","Piaractus sp. HC-2014"
"2847","eDNA, top 500","Pimephales notatus"
"2848","eDNA, top 500","Pimephales promelas"
"2849","eDNA, top 500","Pimephales tenellus"
"2851","eDNA, top 500","Plagioscion sp. BLS-2003"
"2852","eDNA, top 500","Plagioscion squamosissimus"
"2857","eDNA, top 500","Platichthys bicoloratus"
"2858","eDNA, top 500","Platichthys flesus"
"2867","eDNA, top 500","Platygobio gracilis"
"2869","eDNA, top 500","Platysmacheilus longibarbatus"
"2876","eDNA, top 500","Plectranthias sheni"
"2878","eDNA, top 500","Plectroglyphidodon apicalis"
"2882","eDNA, top 500","Plectroglyphidodon obreptus"
"2887","eDNA, top 500","Pleurogrammus azonus"
"2889","eDNA, top 500","Pleuronectes platessa"
"2894","eDNA, top 500","Pleuronichthys guttulatus"
"2899","eDNA, top 500","Plotosus canius"
"2901","eDNA, top 500","Podothecus sachi"
"2902","eDNA, top 500","Podothecus sturioides"
"2903","eDNA, top 500","Podothecus veternus"
"2907","eDNA, top 500","Poeciliopsis monacha"
"2908","eDNA, top 500","Poeciliopsis monacha x P. lucida"
"2912","eDNA, top 500","Pollachius pollachius"
"2913","eDNA, top 500","Pollachius virens"
"2916","eDNA, top 500","Polydactylus microstoma"
"2918","eDNA, top 500","Polydactylus plebeius"
"2924","eDNA, top 500","Polymixia sazonovi"
"2925","eDNA, top 500","Polynemus dubius"
"2930","eDNA, top 500","Pomadasys quadrilineatus"
"2931","eDNA, top 500","Pomadasys sp. CBM:ZF:18112"
"2933","eDNA, top 500","Pontinus kuhlii"
"2942","eDNA, top 500","Porocottus allisi"
"2943","eDNA, top 500","Porocottus camtschaticus"
"2944","eDNA, top 500","Porocottus coronatus"
"2946","eDNA, top 500","Porocottus sp. HUMZ:197473"
"2947","eDNA, top 500","Porocottus tentaculatus"
"2954","eDNA, top 500","Poropanchax normani"
"2955","eDNA, top 500","Potamalosa richmondia"
"2956","eDNA, top 500","Potamorhina latior"
"2957","eDNA, top 500","Potamothrissa obtusirostris"
"2972","eDNA, top 500","Pristella maxillaris"
"2980","eDNA, top 500","Pristipomoides multidens"
"2982","eDNA, top 500","Pristipomoides typus"
"2985","eDNA, top 500","Pristolepis fasciata"
"2986","eDNA, top 500","Pristolepis rubripinnis"
"2987","eDNA, top 500","Prochilodus argenteus"
"2988","eDNA, top 500","Prochilodus costatus"
"2989","eDNA, top 500","Prochilodus harttii"
"2990","eDNA, top 500","Prochilodus lineatus"
"2991","eDNA, top 500","Prochilodus nigricans"
"2992","eDNA, top 500","Prochilodus vimboides"
"2993","eDNA, top 500","Procottus major"
"3004","eDNA, top 500","Prosopium williamsoni"
"3011","eDNA, top 500","Psednos groenlandicus"
"3012","eDNA, top 500","Psednos melanocephalus"
"3013","eDNA, top 500","Psednos micruroides"
"3020","eDNA, top 500","Pseudalectrias tarasovi"
"3022","eDNA, top 500","Pseudancistrus longispinis"
"3025","eDNA, top 500","Pseudanthias randalli"
"3027","eDNA, top 500","Pseudaspius brandtii"
"3028","eDNA, top 500","Pseudaspius nakamurai"
"3029","eDNA, top 500","Pseudaspius sachalinensis"
"3031","eDNA, top 500","Pseudetroplus maculatus"
"3032","eDNA, top 500","Pseudobagrus brachyrhabdion"
"3033","eDNA, top 500","Pseudobagrus gracilis"
"3034","eDNA, top 500","Pseudobagrus koreanus"
"3035","eDNA, top 500","Pseudobagrus medianalis"
"3036","eDNA, top 500","Pseudobagrus ondon"
"3037","eDNA, top 500","Pseudobalistes flavimarginatus"
"3038","eDNA, top 500","Pseudobalistes fuscus"
"3045","eDNA, top 500","Pseudoblennius argenteus"
"3046","eDNA, top 500","Pseudoblennius cottoides"
"3048","eDNA, top 500","Pseudoblennius percoides"
"3049","eDNA, top 500","Pseudoblennius sp. Kirin-anahaze"
"3050","eDNA, top 500","Pseudoblennius zonostigma"
"3057","eDNA, top 500","Pseudogastromyzon fangi"
"3058","eDNA, top 500","Pseudogastromyzon fasciatus"
"3059","eDNA, top 500","Pseudogastromyzon lianjiangensis"
"3060","eDNA, top 500","Pseudogastromyzon meihuashanensis"
"3061","eDNA, top 500","Pseudogastromyzon myersi"
"3062","eDNA, top 500","Pseudogobius poicilosoma"
"3064","eDNA, top 500","Pseudogramma sp. RGIP_2993"
"3065","eDNA, top 500","Pseudogramma sp. RGIP_8862"
"3069","eDNA, top 500","Pseudomystus siamensis"
"3070","eDNA, top 500","Pseudopleuronectes americanus"
"3071","eDNA, top 500","Pseudopleuronectes herzensteini"
"3073","eDNA, top 500","Pseudopleuronectes schrenki"
"3076","eDNA, top 500","Pseudorhombus arsius"
"3077","eDNA, top 500","Pseudorhombus cinnamoneus"
"3078","eDNA, top 500","Pseudorhombus dupliciocellatus"
"3079","eDNA, top 500","Pseudorhombus levisquamis"
"3089","eDNA, top 500","Psychrolutes macrocephalus"
"3093","eDNA, top 500","Psychrolutes sp. MM-2017"
"3097","eDNA, top 500","Pterois lunulata"
"3098","eDNA, top 500","Pterois miles"
"3099","eDNA, top 500","Pterois paucispinula"
"3100","eDNA, top 500","Pterois radiata"
"3101","eDNA, top 500","Pterois sp. BD-2002"
"3103","eDNA, top 500","Pterois volitans"
"3104","eDNA, top 500","Pteronotropis hypselopterus"
"3105","eDNA, top 500","Pteronotropis signipinnis"
"3108","eDNA, top 500","Pterygotrigla hemisticta"
"3109","eDNA, top 500","Pterygotrigla ryukyuensis"
"3111","eDNA, top 500","Ptychocheilus lucius"
"3112","eDNA, top 500","Ptychocheilus oregonensis"
"3113","eDNA, top 500","Ptychocheilus umpquae"
"3114","eDNA, top 500","Pungitius hellenicus"
"3115","eDNA, top 500","Pungitius laevis"
"3116","eDNA, top 500","Pungitius platygaster"
"3119","eDNA, top 500","Pungitius sp. Brackish type"
"3120","eDNA, top 500","Pungitius sp. Freshwater type"
"3121","eDNA, top 500","Pungitius sp. MUSASHI-TOMIYO"
"3122","eDNA, top 500","Pungitius tymensis"
"3128","eDNA, top 500","Pygocentrus nattereri"
"3133","eDNA, top 500","Rachycentron canadum"
"3135","eDNA, top 500","Radulinopsis derjavini"
"3136","eDNA, top 500","Radulinopsis taranetzi"
"3144","eDNA, top 500","Raniceps raninus"
"3152","eDNA, top 500","Relictus solitarius"
"3158","eDNA, top 500","Retropinna semoni"
"3160","eDNA, top 500","Rexea prometheoides"
"3171","eDNA, top 500","Rhinichthys cataractae"
"3172","eDNA, top 500","Rhinichthys cobitis"
"3173","eDNA, top 500","Rhinichthys evermanni"
"3174","eDNA, top 500","Rhinichthys falcatus"
"3175","eDNA, top 500","Rhinichthys obtusus"
"3176","eDNA, top 500","Rhinichthys osculus"
"3177","eDNA, top 500","Rhinichthys umatilla"
"3179","eDNA, top 500","Rhinochimaera africana"
"3180","eDNA, top 500","Rhinochimaera atlantica"
"3181","eDNA, top 500","Rhinochimaera pacifica"
"3184","eDNA, top 500","Rhinogobius flumineus"
"3185","eDNA, top 500","Rhinogobius tandikan"
"3191","eDNA, top 500","Rhodichthys regina"
"3192","eDNA, top 500","Rhodymenichthys dolichogaster"
"3194","eDNA, top 500","Rhyacoglanis pulcher"
"3197","eDNA, top 500","Rhynchocypris czekanowskii"
"3198","eDNA, top 500","Rhynchocypris jouyi"
"3199","eDNA, top 500","Rhynchocypris lagowskii"
"3200","eDNA, top 500","Rhynchocypris oxycephala"
"3201","eDNA, top 500","Rhynchocypris percnura"
"3202","eDNA, top 500","Rhynchocypris percnurus mantschuricus"
"3203","eDNA, top 500","Rhynchocypris percnurus sachalinensis"
"3205","eDNA, top 500","Richardsonius balteatus"
"3206","eDNA, top 500","Richardsonius egregius"
"3207","eDNA, top 500","Ricuzenius pinetorum"
"3213","eDNA, top 500","Rinoctes nasutus"
"3225","eDNA, top 500","Rutilus meidingeri"
"3226","eDNA, top 500","Rutilus rutilus"
"3235","eDNA, top 500","Salangichthys microdon"
"3236","eDNA, top 500","Salanx ariakensis"
"3237","eDNA, top 500","Salanx chinensis"
"3238","eDNA, top 500","Salmo caspius"
"3239","eDNA, top 500","Salmo ischchan"
"3240","eDNA, top 500","Salmo labrax"
"3241","eDNA, top 500","Salmo obtusirostris"
"3245","eDNA, top 500","Salmo trutta trutta"
"3246","eDNA, top 500","Salvelinus albus"
"3248","eDNA, top 500","Salvelinus boganidae"
"3250","eDNA, top 500","Salvelinus curilus"
"3251","eDNA, top 500","Salvelinus drjagini"
"3252","eDNA, top 500","Salvelinus elgyticus"
"3254","eDNA, top 500","Salvelinus fontinalis x Salvelinus malma"
"3255","eDNA, top 500","Salvelinus kronocius"
"3256","eDNA, top 500","Salvelinus kuznetzovi"
"3257","eDNA, top 500","Salvelinus leucomaenis"
"3258","eDNA, top 500","Salvelinus leucomaenis japonicus"
"3259","eDNA, top 500","Salvelinus levanidovi"
"3261","eDNA, top 500","Salvelinus malma lordi"
"3262","eDNA, top 500","Salvelinus namaycush"
"3263","eDNA, top 500","Salvelinus schmidti"
"3264","eDNA, top 500","Salvelinus sp. 4 ADK-2017"
"3265","eDNA, top 500","Salvelinus taranetzi"
"3266","eDNA, top 500","Salvethymus svetovidovi"
"3268","eDNA, top 500","Sander canadensis"
"3269","eDNA, top 500","Sander lucioperca"
"3270","eDNA, top 500","Sander marinus"
"3272","eDNA, top 500","Sander volgensis"
"3273","eDNA, top 500","Sarcocheilichthys parvus"
"3277","eDNA, top 500","Sarda sarda"
"3278","eDNA, top 500","Sardina pilchardus"
"3279","eDNA, top 500","Sardinella albella"
"3280","eDNA, top 500","Sardinella fijiensis"
"3281","eDNA, top 500","Sardinella gibbosa"
"3282","eDNA, top 500","Sardinella jussieu"
"3284","eDNA, top 500","Sardinella maderensis"
"3298","eDNA, top 500","Sarotherodon melanotheron"
"3301","eDNA, top 500","Satyrichthys laticeps"
"3302","eDNA, top 500","Satyrichthys moluccensis"
"3303","eDNA, top 500","Satyrichthys welchi"
"3308","eDNA, top 500","Scardinius erythrophthalmus"
"3316","eDNA, top 500","Scatophagus argus"
"3318","eDNA, top 500","Schistura fasciolata"
"3319","eDNA, top 500","Schizodon nasutus"
"3326","eDNA, top 500","Scomberomorus cavalla"
"3328","eDNA, top 500","Scomberomorus maculatus"
"3329","eDNA, top 500","Scomberomorus niphonius"
"3353","eDNA, top 500","Scophthalmus aquosus"
"3357","eDNA, top 500","Scorpaena miostoma"
"3361","eDNA, top 500","Scorpaena pepo"
"3366","eDNA, top 500","Scorpaenodes albaiensis"
"3370","eDNA, top 500","Scorpaenodes minor"
"3372","eDNA, top 500","Scorpaenodes quadrispinosus"
"3373","eDNA, top 500","Scorpaenodes scaber"
"3374","eDNA, top 500","Scorpaenodes sp. KAUM:I:58534"
"3375","eDNA, top 500","Scorpaenodes sp. RGIP_3124"
"3379","eDNA, top 500","Scorpaenopsis cirrosa"
"3382","eDNA, top 500","Scorpaenopsis macrochir"
"3383","eDNA, top 500","Scorpaenopsis neglecta"
"3384","eDNA, top 500","Scorpaenopsis orientalis"
"3385","eDNA, top 500","Scorpaenopsis papuensis"
"3387","eDNA, top 500","Scorpaenopsis ramaraoi"
"3388","eDNA, top 500","Scorpaenopsis venosa"
"3396","eDNA, top 500","Sebastapistes tinkhami"
"3403","eDNA, top 500","Sebastes baramenuke"
"3408","eDNA, top 500","Sebastes cheni"
"3422","eDNA, top 500","Sebastes fasciatus"
"3429","eDNA, top 500","Sebastes hubbsi"
"3430","eDNA, top 500","Sebastes inermis"
"3431","eDNA, top 500","Sebastes iracundus"
"3433","eDNA, top 500","Sebastes joyneri"
"3434","eDNA, top 500","Sebastes koreanus"
"3437","eDNA, top 500","Sebastes longispinis"
"3440","eDNA, top 500","Sebastes matsubarai"
"3445","eDNA, top 500","Sebastes mentella"
"3447","eDNA, top 500","Sebastes minor"
"3452","eDNA, top 500","Sebastes norvegicus"
"3454","eDNA, top 500","Sebastes oblongus"
"3455","eDNA, top 500","Sebastes oculatus"
"3457","eDNA, top 500","Sebastes owstoni"
"3458","eDNA, top 500","Sebastes pachycephalus"
"3459","eDNA, top 500","Sebastes pachycephalus pachycephalus"
"3474","eDNA, top 500","Sebastes schlegelii"
"3475","eDNA, top 500","Sebastes scythropus"
"3481","eDNA, top 500","Sebastes sp. CBM Chiba DNA 2015-535"
"3482","eDNA, top 500","Sebastes steindachneri"
"3483","eDNA, top 500","Sebastes taczanowskii"
"3485","eDNA, top 500","Sebastes trivittatus"
"3489","eDNA, top 500","Sebastes ventricosus"
"3490","eDNA, top 500","Sebastes viviparus"
"3491","eDNA, top 500","Sebastes vulpes"
"3492","eDNA, top 500","Sebastes wakiyai"
"3495","eDNA, top 500","Sebastiscus albofasciatus"
"3497","eDNA, top 500","Sebastiscus tertius"
"3498","eDNA, top 500","Sebastiscus vibrantus"
"3506","eDNA, top 500","Selenotoca multifasciata"
"3507","eDNA, top 500","Semaprochilodus insignis"
"3508","eDNA, top 500","Semaprochilodus sp. CBM:ZF:12566"
"3509","eDNA, top 500","Semaprochilodus sp. CBM:ZF:13710"
"3510","eDNA, top 500","Semaprochilodus taeniurus"
"3516","eDNA, top 500","Seriolella porosa"
"3518","eDNA, top 500","Serranidae sp. JL-2015"
"3523","eDNA, top 500","Serrasalmus elongatus"
"3529","eDNA, top 500","Setarches longimanus"
"3530","eDNA, top 500","Setipinna melanochir"
"3531","eDNA, top 500","Setipinna taty"
"3532","eDNA, top 500","Setipinna tenuifilis"
"3533","eDNA, top 500","Sicyopterus franouxi"
"3535","eDNA, top 500","Siganus punctatissimus"
