"","source","found_taxa"
"579","eDNA, top 500","Lycodes mcallisteri"
"580","eDNA, top 500","Lycodes nakamurae"
"581","eDNA, top 500","Lycodes ocellatus"
"582","eDNA, top 500","Lycodes paamiuti"
"583","eDNA, top 500","Lycodes pallidus"
"584","eDNA, top 500","Lycodes pectoralis"
"585","eDNA, top 500","Lycodes polaris"
"586","eDNA, top 500","Lycodes reticulatus"
"587","eDNA, top 500","Lycodes rossi"
"588","eDNA, top 500","Lycodes sadoensis"
"589","eDNA, top 500","Lycodes seminudus"
"590","eDNA, top 500","Lycodes sigmatoides"
"591","eDNA, top 500","Lycodes soldatovi"
"592","eDNA, top 500","Lycodes squamiventer"
"593","eDNA, top 500","Lycodes tanakae"
"594","eDNA, top 500","Lycodes teraoi"
"595","eDNA, top 500","Lycodes terraenovae"
"596","eDNA, top 500","Lycodes toyamensis"
"597","eDNA, top 500","Lycodes uschakovi"
"598","eDNA, top 500","Lycodes vahlii"
"599","eDNA, top 500","Lycodes ygreknotatus"
"600","eDNA, top 500","Lycodichthys dearborni"
"601","eDNA, top 500","Lycodonus flagellicauda"
"602","eDNA, top 500","Lycodonus mirabilis"
"603","eDNA, top 500","Lycothrissa crocodilus"
"604","eDNA, top 500","Lycozoarces regani"
"605","eDNA, top 500","Lythrichthys cypho"
"606","eDNA, top 500","Lythrurus ardens"
"607","eDNA, top 500","Macrhybopsis aestivalis"
"608","eDNA, top 500","Macrhybopsis storeriana"
"609","eDNA, top 500","Macrognathus siamensis"
"610","eDNA, top 500","Makaira mazara"
"611","eDNA, top 500","Malacanthus latovittatus"
"612","eDNA, top 500","Malacocottus gibber"
"613","eDNA, top 500","Malakichthys barbatus"
"614","eDNA, top 500","Malakichthys elegans"
"615","eDNA, top 500","Malakichthys griseus"
"616","eDNA, top 500","Malakichthys wakiyae"
"617","eDNA, top 500","Margariscus margarita"
"618","eDNA, top 500","Marukawichthys ambulator"
"619","eDNA, top 500","Mastacembelus albomaculatus"
"620","eDNA, top 500","Mastacembelus apectoralis"
"621","eDNA, top 500","Mastacembelus ellipsifer"
"622","eDNA, top 500","Mastacembelus flavidus"
"623","eDNA, top 500","Mastacembelus mastacembelus"
"624","eDNA, top 500","Mastacembelus micropectus"
"625","eDNA, top 500","Mastacembelus plagiostomus"
"626","eDNA, top 500","Mastacembelus tanganicae"
"627","eDNA, top 500","Mastacembelus zebratus"
"628","eDNA, top 500","Megaleporinus garmani"
"629","eDNA, top 500","Megaleporinus macrocephalus"
"630","eDNA, top 500","Melanogrammus aeglefinus"
"631","eDNA, top 500","Melanostigma atlanticum"
"632","eDNA, top 500","Mene maculata"
"633","eDNA, top 500","Merlangius merlangus"
"634","eDNA, top 500","Merluccius albidus"
"635","eDNA, top 500","Merluccius australis"
"636","eDNA, top 500","Merluccius bilinearis"
"637","eDNA, top 500","Merluccius capensis"
"638","eDNA, top 500","Merluccius gayi"
"639","eDNA, top 500","Merluccius hubbsi"
"640","eDNA, top 500","Merluccius merluccius"
"641","eDNA, top 500","Merluccius senegalensis"
"642","eDNA, top 500","Mesocottus haitej"
"643","eDNA, top 500","Micrenophrys lilljeborgii"
"644","eDNA, top 500","Microgadus tomcod"
"645","eDNA, top 500","Micromesistius poutassou"
"646","eDNA, top 500","Micropterus"
"647","eDNA, top 500","Micropterus dolomieu"
"648","eDNA, top 500","Micropterus floridanus"
"649","eDNA, top 500","Micropterus punctulatus"
"650","eDNA, top 500","Micropterus salmoides"
"651","eDNA, top 500","Micropterus treculii"
"652","eDNA, top 500","Microsternarchus bilineatus"
"653","eDNA, top 500","Microstomus achne"
"654","eDNA, top 500","Microstomus bathybius"
"655","eDNA, top 500","Microstomus kitt"
"656","eDNA, top 500","Microthrissa congica"
"657","eDNA, top 500","Microthrissa royauxi"
"658","eDNA, top 500","Miichthys miiuy"
"659","eDNA, top 500","Mikrogeophagus altispinosus"
"660","eDNA, top 500","Molva dypterygia"
"661","eDNA, top 500","Molva molva"
"662","eDNA, top 500","Monacanthus tuckeri"
"663","eDNA, top 500","Moxostoma congestum"
"664","eDNA, top 500","Mugilogobius abei"
"665","eDNA, top 500","Mugilogobius myxodermus"
"666","eDNA, top 500","Mullus surmuletus"
"667","eDNA, top 500","Myloplus asterias"
"668","eDNA, top 500","Myloplus schomburgkii"
"669","eDNA, top 500","Myoxocephalus aenaeus"
"670","eDNA, top 500","Myoxocephalus brandtii"
"671","eDNA, top 500","Myoxocephalus octodecemspinosus"
"672","eDNA, top 500","Myxodes viridis"
"673","eDNA, top 500","Myzopsetta ferruginea"
"674","eDNA, top 500","Myzopsetta punctatissima"
"675","eDNA, top 500","Nandopsis tetracanthus"
"676","eDNA, top 500","Nansenia ardesiaca"
"677","eDNA, top 500","Nansenia candida"
"678","eDNA, top 500","Nansenia groenlandica"
"679","eDNA, top 500","Nansenia oblita"
"680","eDNA, top 500","Narcetes erimelas"
"681","eDNA, top 500","Narcetes shonanmaruae"
"682","eDNA, top 500","Nematalosa come"
"683","eDNA, top 500","Nematalosa erebi"
"684","eDNA, top 500","Nematalosa japonica"
"685","eDNA, top 500","Nematalosa nasus"
"686","eDNA, top 500","Neoachiropsetta milfordi"
"687","eDNA, top 500","Neoditrema ransonnetii"
"688","eDNA, top 500","Neoepinnula orientalis"
"689","eDNA, top 500","Neoglyphidodon polyacanthus"
"690","eDNA, top 500","Neoharriotta pinnata"
"691","eDNA, top 500","Neohomaloptera johorensis"
"692","eDNA, top 500","Neomerinthe erostris"
"693","eDNA, top 500","Neomerinthe procurva"
"694","eDNA, top 500","Neomerinthe rotunda"
"695","eDNA, top 500","Neosalangichthys ishikawae"
"696","eDNA, top 500","Neosebastes multisquamus"
"697","eDNA, top 500","Neozoarces steindachneri"
"698","eDNA, top 500","Netuma thalassina"
"699","eDNA, top 500","Niphon spinosus"
"700","eDNA, top 500","Nocomis leptocephalus"
"701","eDNA, top 500","Nocomis micropogon"
"702","eDNA, top 500","Normichthys operosus"
"703","eDNA, top 500","Notemigonus crysoleucas"
"704","eDNA, top 500","Notothenia coriiceps"
"705","eDNA, top 500","Notothenia rossii"
"706","eDNA, top 500","Notropis baileyi"
"707","eDNA, top 500","Notropis chalybaeus"
"708","eDNA, top 500","Notropis chrosomus"
"709","eDNA, top 500","Notropis hudsonius"
"710","eDNA, top 500","Notropis lutipinnis"
"711","eDNA, top 500","Notropis ortenburgeri"
"712","eDNA, top 500","Notropis telescopus"
"713","eDNA, top 500","Notropis texanus"
"714","eDNA, top 500","Obliquogobius yamadai"
"715","eDNA, top 500","Occella iburia"
"716","eDNA, top 500","Odaxothrissa losera"
"717","eDNA, top 500","Odontamblyopus lacepedii"
"718","eDNA, top 500","Odontamblyopus rebecca"
"719","eDNA, top 500","Odontamblyopus rubicundus"
"720","eDNA, top 500","Odontanthias borbonius"
"721","eDNA, top 500","Oligolepis acutipennis"
"722","eDNA, top 500","Oligosarcus argenteus"
"723","eDNA, top 500","Oligosarcus macrolepis"
"724","eDNA, top 500","Olivaichthys mesembrinus"
"725","eDNA, top 500","Oncorhynchus apache"
"726","eDNA, top 500","Oncorhynchus clarkii"
"727","eDNA, top 500","Oncorhynchus clarkii henshawi"
"728","eDNA, top 500","Oncorhynchus clarkii lewisi"
"729","eDNA, top 500","Oncorhynchus clarkii stomias"
"730","eDNA, top 500","Oncorhynchus clarkii virginalis"
"731","eDNA, top 500","Oncorhynchus formosanus"
"732","eDNA, top 500","Oncorhynchus gilae"
"733","eDNA, top 500","Oncorhynchus kawamurae"
"734","eDNA, top 500","Oncorhynchus masou"
"735","eDNA, top 500","Oncorhynchus masou ishikawae"
"736","eDNA, top 500","Oncorhynchus masou masou"
"737","eDNA, top 500","Oncorhynchus mykiss"
"738","eDNA, top 500","Oncorhynchus mykiss irideus"
"739","eDNA, top 500","Oncorhynchus mykiss x Salmo salar"
"740","eDNA, top 500","Ophiocara porocephala"
"741","eDNA, top 500","Ophthalmolycus amberensis"
"742","eDNA, top 500","Opisthocentrus ocellatus"
"743","eDNA, top 500","Opisthocentrus tenuis"
"744","eDNA, top 500","Opisthocentrus zonope"
"745","eDNA, top 500","Opisthopterus tardoore"
"746","eDNA, top 500","Opistognathus decorus"
"747","eDNA, top 500","Opistognathus evermanni"
"748","eDNA, top 500","Opistognathus hopkinsi"
"749","eDNA, top 500","Opistognathus iyonis"
"750","eDNA, top 500","Opistognathus jacksoniensis"
"751","eDNA, top 500","Oplegnathus woodwardi"
"752","eDNA, top 500","Opsariichthys acutipinnis"
"753","eDNA, top 500","Opsariichthys evolans"
"754","eDNA, top 500","Opsariichthys kaopingensis"
"755","eDNA, top 500","Opsariichthys pachycephalus"
"756","eDNA, top 500","Oreoleuciscus potanini"
"757","eDNA, top 500","Osphronemus goramy"
"758","eDNA, top 500","Osteoglossum bicirrhosum"
"759","eDNA, top 500","Otocinclus affinis"
"760","eDNA, top 500","Otocinclus hoppei"
"761","eDNA, top 500","Oxuderces dentatus"
"762","eDNA, top 500","Oxyurichthys auchenolepis"
"763","eDNA, top 500","Oxyurichthys cornutus"
"764","eDNA, top 500","Oxyurichthys lonchotus"
"765","eDNA, top 500","Pachychilon pictum"
"766","eDNA, top 500","Pachyurus bonariensis"
"767","eDNA, top 500","Pandaka lidwilli"
"768","eDNA, top 500","Pangasianodon hypophthalmus"
"769","eDNA, top 500","Pangasius krempfi"
"770","eDNA, top 500","Pangasius larnaudii"
"771","eDNA, top 500","Pangasius sanitwongsei"
"772","eDNA, top 500","Parabotia lijiangensis"
"773","eDNA, top 500","Parachaeturichthys polynema"
"774","eDNA, top 500","Paracottus knerii"
"775","eDNA, top 500","Paradiplospinus antarcticus"
"776","eDNA, top 500","Parahucho perryi"
"777","eDNA, top 500","Parakneria cameronensis"
"778","eDNA, top 500","Paralichthys adspersus"
"779","eDNA, top 500","Paralichthys albigutta"
"780","eDNA, top 500","Paralichthys dentatus"
"781","eDNA, top 500","Paralichthys lethostigma"
"782","eDNA, top 500","Paralichthys olivaceus"
"783","eDNA, top 500","Paralichthys squamilentus"
"784","eDNA, top 500","Paraliparis bathybius"
"785","eDNA, top 500","Paraliparis copei"
"786","eDNA, top 500","Paraliparis dipterus"
"787","eDNA, top 500","Paraliparis meridionalis"
"788","eDNA, top 500","Paramisgurnus dabryanus"
"789","eDNA, top 500","Paranemachilus genilepis"
"790","eDNA, top 500","Parapterois heterura"
"791","eDNA, top 500","Parascorpaena aurita"
"792","eDNA, top 500","Parascorpaena mossambica"
"793","eDNA, top 500","Pareques iwamotoi"
"794","eDNA, top 500","Pelecus cultratus"
"795","eDNA, top 500","Pellona ditchela"
"796","eDNA, top 500","Pellona flavipinnis"
"797","eDNA, top 500","Pellonula leonensis"
"798","eDNA, top 500","Pellonula vorax"
"799","eDNA, top 500","Perca fluviatilis"
"800","eDNA, top 500","Perca schrenkii"
"801","eDNA, top 500","Percalates colonorum"
"802","eDNA, top 500","Perccottus glenii"
"803","eDNA, top 500","Percina aurantiaca"
"804","eDNA, top 500","Percina freemanorum"
"805","eDNA, top 500","Percina peltata"
"806","eDNA, top 500","Periophthalmodon schlosseri"
"807","eDNA, top 500","Periophthalmus barbarus"
"808","eDNA, top 500","Periophthalmus magnuspinnatus"
"809","eDNA, top 500","Periophthalmus minutus"
"810","eDNA, top 500","Peristedion miniatum"
"811","eDNA, top 500","Petenia splendida"
"812","eDNA, top 500","Phasmatocottus ctenopterygius"
"813","eDNA, top 500","Pholidapus dybowskii"
"814","eDNA, top 500","Pholis crassispina"
"815","eDNA, top 500","Pholis fangi"
"816","eDNA, top 500","Pholis fasciata"
"817","eDNA, top 500","Pholis gunnellus"
"818","eDNA, top 500","Pholis nebulosa"
"819","eDNA, top 500","Pholis picta"
"820","eDNA, top 500","Phoxinus bigerri"
"821","eDNA, top 500","Phoxinus csikii"
"822","eDNA, top 500","Phoxinus dragarum"
"823","eDNA, top 500","Phoxinus fayollarum"
"824","eDNA, top 500","Phoxinus keumkang"
"825","eDNA, top 500","Phoxinus phoxinus"
"826","eDNA, top 500","Phoxinus phoxinus tumensis"
"827","eDNA, top 500","Phoxinus semotilus"
"828","eDNA, top 500","Phoxinus septimaniae"
"829","eDNA, top 500","Phoxinus steindachneri"
"830","eDNA, top 500","Phoxinus ujmonensis"
"831","eDNA, top 500","Phoxocampus belcheri"
"832","eDNA, top 500","Piaractus brachypomus"
"833","eDNA, top 500","Piaractus mesopotamicus"
"834","eDNA, top 500","Pimephales notatus"
"835","eDNA, top 500","Pimephales promelas"
"836","eDNA, top 500","Pimephales tenellus"
"837","eDNA, top 500","Plagioscion squamosissimus"
"838","eDNA, top 500","Platichthys bicoloratus"
"839","eDNA, top 500","Platichthys flesus"
"840","eDNA, top 500","Platygobio gracilis"
"841","eDNA, top 500","Platysmacheilus longibarbatus"
"842","eDNA, top 500","Plecoglossus altivelis"
"843","eDNA, top 500","Plecoglossus altivelis altivelis"
"844","eDNA, top 500","Plecoglossus altivelis ryukyuensis"
"845","eDNA, top 500","Plectranthias sheni"
"846","eDNA, top 500","Plectroglyphidodon apicalis"
"847","eDNA, top 500","Plectroglyphidodon obreptus"
"848","eDNA, top 500","Pleurogrammus azonus"
"849","eDNA, top 500","Pleuronectes platessa"
"850","eDNA, top 500","Pleuronichthys cornutus"
"851","eDNA, top 500","Pleuronichthys guttulatus"
"852","eDNA, top 500","Pleuronichthys japonicus"
"853","eDNA, top 500","Pleuronichthys lighti"
"854","eDNA, top 500","Plotosus canius"
"855","eDNA, top 500","Podothecus sachi"
"856","eDNA, top 500","Podothecus sturioides"
"857","eDNA, top 500","Podothecus veternus"
"858","eDNA, top 500","Poeciliopsis monacha"
"859","eDNA, top 500","Pollachius pollachius"
"860","eDNA, top 500","Pollachius virens"
"861","eDNA, top 500","Polydactylus microstoma"
"862","eDNA, top 500","Polydactylus plebeius"
"863","eDNA, top 500","Polymixia sazonovi"
"864","eDNA, top 500","Polynemus dubius"
"865","eDNA, top 500","Pomadasys quadrilineatus"
"866","eDNA, top 500","Pontinus kuhlii"
"867","eDNA, top 500","Porocottus allisi"
"868","eDNA, top 500","Porocottus camtschaticus"
"869","eDNA, top 500","Porocottus coronatus"
"870","eDNA, top 500","Porocottus tentaculatus"
"871","eDNA, top 500","Poropanchax normani"
"872","eDNA, top 500","Potamalosa richmondia"
"873","eDNA, top 500","Potamorhina latior"
"874","eDNA, top 500","Potamothrissa obtusirostris"
"875","eDNA, top 500","Pristella maxillaris"
"876","eDNA, top 500","Pristipomoides multidens"
"877","eDNA, top 500","Pristipomoides typus"
"878","eDNA, top 500","Pristolepis fasciata"
"879","eDNA, top 500","Pristolepis rubripinnis"
"880","eDNA, top 500","Prochilodus argenteus"
"881","eDNA, top 500","Prochilodus costatus"
"882","eDNA, top 500","Prochilodus harttii"
"883","eDNA, top 500","Prochilodus lineatus"
"884","eDNA, top 500","Prochilodus nigricans"
"885","eDNA, top 500","Prochilodus vimboides"
"886","eDNA, top 500","Procottus major"
"887","eDNA, top 500","Prosopium williamsoni"
"888","eDNA, top 500","Psednos groenlandicus"
"889","eDNA, top 500","Psednos melanocephalus"
"890","eDNA, top 500","Psednos micruroides"
"891","eDNA, top 500","Pseudalectrias tarasovi"
"892","eDNA, top 500","Pseudancistrus longispinis"
"893","eDNA, top 500","Pseudanthias randalli"
"894","eDNA, top 500","Pseudaspius nakamurai"
"895","eDNA, top 500","Pseudetroplus maculatus"
"896","eDNA, top 500","Pseudobagrus brachyrhabdion"
"897","eDNA, top 500","Pseudobagrus gracilis"
"898","eDNA, top 500","Pseudobagrus koreanus"
"899","eDNA, top 500","Pseudobagrus medianalis"
"900","eDNA, top 500","Pseudobagrus ondon"
"901","eDNA, top 500","Pseudobalistes flavimarginatus"
"902","eDNA, top 500","Pseudobalistes fuscus"
"903","eDNA, top 500","Pseudoblennius argenteus"
"904","eDNA, top 500","Pseudoblennius cottoides"
"905","eDNA, top 500","Pseudoblennius marmoratus"
"906","eDNA, top 500","Pseudoblennius percoides"
"907","eDNA, top 500","Pseudoblennius zonostigma"
"908","eDNA, top 500","Pseudogastromyzon fangi"
"909","eDNA, top 500","Pseudogastromyzon fasciatus"
"910","eDNA, top 500","Pseudogastromyzon fasciatus fasciatus"
"911","eDNA, top 500","Pseudogastromyzon fasciatus jiulongjiangensis"
"912","eDNA, top 500","Pseudogastromyzon lianjiangensis"
"913","eDNA, top 500","Pseudogastromyzon meihuashanensis"
"914","eDNA, top 500","Pseudogastromyzon myersi"
"915","eDNA, top 500","Pseudogobius poicilosoma"
"916","eDNA, top 500","Pseudomystus siamensis"
"917","eDNA, top 500","Pseudopleuronectes americanus"
"918","eDNA, top 500","Pseudopleuronectes herzensteini"
"919","eDNA, top 500","Pseudopleuronectes obscurus"
"920","eDNA, top 500","Pseudopleuronectes schrenki"
"921","eDNA, top 500","Pseudopleuronectes yokohamae"
"922","eDNA, top 500","Pseudorhombus arsius"
"923","eDNA, top 500","Pseudorhombus cinnamoneus"
"924","eDNA, top 500","Pseudorhombus dupliciocellatus"
"925","eDNA, top 500","Pseudorhombus levisquamis"
"926","eDNA, top 500","Psychrolutes macrocephalus"
"927","eDNA, top 500","Pterois lunulata"
"928","eDNA, top 500","Pterois miles"
"929","eDNA, top 500","Pterois paucispinula"
"930","eDNA, top 500","Pterois radiata"
"931","eDNA, top 500","Pterois volitans"
"932","eDNA, top 500","Pteronotropis hypselopterus"
"933","eDNA, top 500","Pteronotropis signipinnis"
"934","eDNA, top 500","Pterygotrigla hemisticta"
"935","eDNA, top 500","Pterygotrigla ryukyuensis"
"936","eDNA, top 500","Ptychocheilus lucius"
"937","eDNA, top 500","Ptychocheilus oregonensis"
"938","eDNA, top 500","Ptychocheilus umpquae"
"939","eDNA, top 500","Pungitius hellenicus"
"940","eDNA, top 500","Pungitius kaibarae"
"941","eDNA, top 500","Pungitius laevis"
"942","eDNA, top 500","Pungitius platygaster"
"943","eDNA, top 500","Pungitius sinensis"
"944","eDNA, top 500","Pungitius tymensis"
"945","eDNA, top 500","Pygocentrus nattereri"
"946","eDNA, top 500","Rachycentron canadum"
"947","eDNA, top 500","Radulinopsis derjavini"
"948","eDNA, top 500","Radulinopsis taranetzi"
"949","eDNA, top 500","Raniceps raninus"
"950","eDNA, top 500","Relictus solitarius"
"951","eDNA, top 500","Retropinna semoni"
"952","eDNA, top 500","Rexea prometheoides"
"953","eDNA, top 500","Rhinichthys cataractae"
"954","eDNA, top 500","Rhinichthys cobitis"
"955","eDNA, top 500","Rhinichthys evermanni"
"956","eDNA, top 500","Rhinichthys falcatus"
"957","eDNA, top 500","Rhinichthys obtusus"
"958","eDNA, top 500","Rhinichthys osculus"
"959","eDNA, top 500","Rhinichthys osculus thermalis"
"960","eDNA, top 500","Rhinichthys umatilla"
"961","eDNA, top 500","Rhinochimaera africana"
"962","eDNA, top 500","Rhinochimaera atlantica"
"963","eDNA, top 500","Rhinochimaera pacifica"
"964","eDNA, top 500","Rhinogobius flumineus"
"965","eDNA, top 500","Rhinogobius tandikan"
"966","eDNA, top 500","Rhodichthys regina"
"967","eDNA, top 500","Rhodymenichthys dolichogaster"
"968","eDNA, top 500","Rhynchocypris czekanowskii"
"969","eDNA, top 500","Rhynchocypris lagowskii"
"970","eDNA, top 500","Rhynchocypris oxycephala"
"971","eDNA, top 500","Rhynchocypris percnura"
"972","eDNA, top 500","Rhynchocypris percnurus sachalinensis"
"973","eDNA, top 500","Richardsonius balteatus"
"974","eDNA, top 500","Richardsonius balteatus hydrophlox"
"975","eDNA, top 500","Richardsonius egregius"
"976","eDNA, top 500","Ricuzenius pinetorum"
"977","eDNA, top 500","Rinoctes nasutus"
"978","eDNA, top 500","Rutilus meidingeri"
"979","eDNA, top 500","Rutilus rutilus"
"980","eDNA, top 500","Salangichthys microdon"
"981","eDNA, top 500","Salanx ariakensis"
"982","eDNA, top 500","Salanx chinensis"
"983","eDNA, top 500","Salmo caspius"
"984","eDNA, top 500","Salmo ischchan"
"985","eDNA, top 500","Salmo ischchan gegarkuni"
"986","eDNA, top 500","Salmo labrax"
"987","eDNA, top 500","Salmo obtusirostris"
"988","eDNA, top 500","Salmo trutta trutta"
"989","eDNA, top 500","Salvelinus albus"
"990","eDNA, top 500","Salvelinus alpinus alpinus"
"991","eDNA, top 500","Salvelinus alpinus erythrinus"
"992","eDNA, top 500","Salvelinus boganidae"
"993","eDNA, top 500","Salvelinus curilus"
"994","eDNA, top 500","Salvelinus drjagini"
"995","eDNA, top 500","Salvelinus elgyticus"
"996","eDNA, top 500","Salvelinus fontinalis x Salvelinus malma"
"997","eDNA, top 500","Salvelinus kronocius"
"998","eDNA, top 500","Salvelinus kuznetzovi"
"999","eDNA, top 500","Salvelinus leucomaenis"
"1000","eDNA, top 500","Salvelinus leucomaenis imbrius"
"1001","eDNA, top 500","Salvelinus leucomaenis leucomaenis"
"1002","eDNA, top 500","Salvelinus leucomaenis pluvius"
"1003","eDNA, top 500","Salvelinus levanidovi"
"1004","eDNA, top 500","Salvelinus malma malma"
"1005","eDNA, top 500","Salvelinus malma miyabei"
"1006","eDNA, top 500","Salvelinus namaycush"
"1007","eDNA, top 500","Salvelinus schmidti"
"1008","eDNA, top 500","Salvelinus taranetzi"
"1009","eDNA, top 500","Salvethymus svetovidovi"
"1010","eDNA, top 500","Sander canadensis"
"1011","eDNA, top 500","Sander lucioperca"
"1012","eDNA, top 500","Sander marinus"
"1013","eDNA, top 500","Sander volgensis"
"1014","eDNA, top 500","Sarcocheilichthys parvus"
"1015","eDNA, top 500","Sarda sarda"
"1016","eDNA, top 500","Sardina pilchardus"
"1017","eDNA, top 500","Sardinella albella"
"1018","eDNA, top 500","Sardinella fijiensis"
"1019","eDNA, top 500","Sardinella gibbosa"
"1020","eDNA, top 500","Sardinella jussieu"
"1021","eDNA, top 500","Sardinella lemuru"
"1022","eDNA, top 500","Sardinella maderensis"
"1023","eDNA, top 500","Sardinella zunasi"
"1024","eDNA, top 500","Sardinops melanostictus"
"1025","eDNA, top 500","Sarotherodon melanotheron"
"1026","eDNA, top 500","Satyrichthys laticeps"
"1027","eDNA, top 500","Satyrichthys moluccensis"
"1028","eDNA, top 500","Satyrichthys welchi"
"1029","eDNA, top 500","Scardinius erythrophthalmus"
"1030","eDNA, top 500","Scartelaos histophorus"
"1031","eDNA, top 500","Scatophagus argus"
"1032","eDNA, top 500","Schistura fasciolata"
"1033","eDNA, top 500","Schizodon nasutus"
"1034","eDNA, top 500","Scomberomorus cavalla"
"1035","eDNA, top 500","Scomberomorus maculatus"
"1036","eDNA, top 500","Scomberomorus niphonius"
"1037","eDNA, top 500","Scophthalmus aquosus"
"1038","eDNA, top 500","Scorpaena miostoma"
"1039","eDNA, top 500","Scorpaena onaria"
"1040","eDNA, top 500","Scorpaena pepo"
"1041","eDNA, top 500","Scorpaenodes albaiensis"
"1042","eDNA, top 500","Scorpaenodes minor"
"1043","eDNA, top 500","Scorpaenodes quadrispinosus"
"1044","eDNA, top 500","Scorpaenodes scaber"
"1045","eDNA, top 500","Scorpaenopsis cirrosa"
"1046","eDNA, top 500","Scorpaenopsis macrochir"
"1047","eDNA, top 500","Scorpaenopsis neglecta"
"1048","eDNA, top 500","Scorpaenopsis orientalis"
"1049","eDNA, top 500","Scorpaenopsis papuensis"
"1050","eDNA, top 500","Scorpaenopsis ramaraoi"
"1051","eDNA, top 500","Scorpaenopsis venosa"
"1052","eDNA, top 500","Sebastapistes tinkhami"
"1053","eDNA, top 500","Sebastes baramenuke"
"1054","eDNA, top 500","Sebastes cheni"
"1055","eDNA, top 500","Sebastes fasciatus"
"1056","eDNA, top 500","Sebastes glaucus"
"1057","eDNA, top 500","Sebastes hubbsi"
"1058","eDNA, top 500","Sebastes inermis"
"1059","eDNA, top 500","Sebastes iracundus"
"1060","eDNA, top 500","Sebastes joyneri"
"1061","eDNA, top 500","Sebastes koreanus"
"1062","eDNA, top 500","Sebastes longispinis"
"1063","eDNA, top 500","Sebastes matsubarai"
"1064","eDNA, top 500","Sebastes mentella"
"1065","eDNA, top 500","Sebastes minor"
"1066","eDNA, top 500","Sebastes norvegicus"
"1067","eDNA, top 500","Sebastes oblongus"
"1068","eDNA, top 500","Sebastes oculatus"
"1069","eDNA, top 500","Sebastes owstoni"
"1070","eDNA, top 500","Sebastes pachycephalus"
"1071","eDNA, top 500","Sebastes pachycephalus pachycephalus"
"1072","eDNA, top 500","Sebastes schlegelii"
"1073","eDNA, top 500","Sebastes scythropus"
"1074","eDNA, top 500","Sebastes steindachneri"
"1075","eDNA, top 500","Sebastes taczanowskii"
"1076","eDNA, top 500","Sebastes thompsoni"
"1077","eDNA, top 500","Sebastes trivittatus"
"1078","eDNA, top 500","Sebastes ventricosus"
"1079","eDNA, top 500","Sebastes viviparus"
"1080","eDNA, top 500","Sebastes vulpes"
"1081","eDNA, top 500","Sebastes wakiyai"
"1082","eDNA, top 500","Sebastiscus albofasciatus"
"1083","eDNA, top 500","Sebastiscus marmoratus"
"1084","eDNA, top 500","Sebastiscus tertius"
"1085","eDNA, top 500","Sebastiscus vibrantus"
"1086","eDNA, top 500","Selenotoca multifasciata"
"1087","eDNA, top 500","Semaprochilodus insignis"
"1088","eDNA, top 500","Semaprochilodus taeniurus"
"1089","eDNA, top 500","Seriolella porosa"
"1090","eDNA, top 500","Serrasalmus elongatus"
"1091","eDNA, top 500","Setarches longimanus"
"1092","eDNA, top 500","Setipinna melanochir"
"1093","eDNA, top 500","Setipinna taty"
"1094","eDNA, top 500","Setipinna tenuifilis"
"1095","eDNA, top 500","Sicyopterus franouxi"
"1096","eDNA, top 500","Siganus punctatissimus"
"1097","eDNA, top 500","Sillago ingenuua"
"1098","eDNA, top 500","Sillago maculata"
"1099","eDNA, top 500","Silurus asotus"
"1100","eDNA, top 500","Silurus biwaensis"
"1101","eDNA, top 500","Silurus glanis"
"1102","eDNA, top 500","Silurus soldatovi"
"1103","eDNA, top 500","Siniperca chuatsi x Siniperca scherzeri"
"1104","eDNA, top 500","Siniperca fortis"
"1105","eDNA, top 500","Siniperca scherzeri"
"1106","eDNA, top 500","Siniperca undulata"
"1107","eDNA, top 500","Siphateles alvordensis"
"1108","eDNA, top 500","Siphateles bicolor"
"1109","eDNA, top 500","Siphateles bicolor eurysoma"
"1110","eDNA, top 500","Siphateles bicolor mohavensis"
"1111","eDNA, top 500","Siphateles bicolor obesus"
"1112","eDNA, top 500","Siphateles bicolor thalassinus"
"1113","eDNA, top 500","Siphateles boraxobius"
"1114","eDNA, top 500","Solegnathus spinosissimus"
"1115","eDNA, top 500","Sphyraena guachancho"
"1116","eDNA, top 500","Spirinchus lanceolatus"
"1117","eDNA, top 500","Sprattus antipodum"
"1118","eDNA, top 500","Sprattus muelleri"
"1119","eDNA, top 500","Sprattus sprattus"
"1120","eDNA, top 500","Squalidus argentatus"
"1121","eDNA, top 500","Squalidus chankaensis"
"1122","eDNA, top 500","Squalidus chankaensis biwae"
"1123","eDNA, top 500","Squalidus chankaensis tsuchigae"
"1124","eDNA, top 500","Squalidus gracilis"
"1125","eDNA, top 500","Squalidus iijimae"
"1126","eDNA, top 500","Squalidus japonicus"
"1127","eDNA, top 500","Squalidus mantschuricus"
"1128","eDNA, top 500","Squalidus nitens"
"1129","eDNA, top 500","Squalius alburnoides"
"1130","eDNA, top 500","Squalius carolitertii"
"1131","eDNA, top 500","Squalius cephalus"
"1132","eDNA, top 500","Squalius lepidus"
"1133","eDNA, top 500","Squalius pyrenaicus"
"1134","eDNA, top 500","Squalogadus modificatus"
"1135","eDNA, top 500","Steindachnerina elegans"
"1136","eDNA, top 500","Stenatherina panatela"
"1137","eDNA, top 500","Stenogobius genivittatus"
"1138","eDNA, top 500","Stephanolepis hispida"
"1139","eDNA, top 500","Stereolepis doederleini"
"1140","eDNA, top 500","Stichaeopsis epallax"
