subject_accession,subject_taxonomy_id,kingdom,phylum,class,order,family,genus,species,sp_num,class_count,extra_organism
KY789460,1966413,Bacteria,Cyanobacteriota,unknown class,unknown order,unknown family,unknown genus,unicellular cyanobacterium,1,393,n
OK569791,1650286,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella desiccata,1,61,n
AF278746,154509,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Koliellaceae,Koliella,Koliella spiculiformis,1,61,n
NC_025549,97105,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Marvania,Marvania geminata,1,61,n
KM462888,97105,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Marvania,Marvania geminata,2,61,n
KT067933,1433143,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Symphyonemataceae,Loriellopsis,Loriellopsis,1,126,n
MG552671,2053932,Viridiplantae,Chlorophyta,Trebouxiophyceae,unknown order,unknown family,Picochlorum,Picochlorum 'soloecismus',1,61,n
MN128434,3078,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Auxenochlorella,Auxenochlorella pyrenoidosa,1,61,n
MH983006,1759591,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Micractinium,Micractinium,1,61,n
ON868694,449441,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,1,126,n
MZ329997,2841202,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum,1,126,n
KM514799,3078,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Auxenochlorella,Auxenochlorella pyrenoidosa,2,61,n
KM514797,3078,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Auxenochlorella,Auxenochlorella pyrenoidosa,3,61,n
MN894287,2607981,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Micractinium,Micractinium singularis,1,61,n
MN649872,126839,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Micractinium,Micractinium pusillum,1,61,n
MN372092,554065,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella variabilis,1,61,n
OK523951,554065,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella variabilis,2,61,n
JQ701246,260559,Viridiplantae,Streptophyta,unknown class,unknown order,unknown family,unknown genus,Streptophyta,1,393,n
JQ726701,1192309,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus,1,126,n
KM514779,745283,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Dictyosphaerium,Dictyosphaerium ehrenbergianum,1,61,n
MZ470613,3077,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella vulgaris,1,61,n
MN855377,1812861,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella thermophila,1,61,n
MK948102,3077,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella vulgaris,2,61,n
MK948100,3077,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella vulgaris,3,61,n
KY629620,554055,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Micractinium,Micractinium conductrix,1,61,n
MF683077,3072,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Pseudochlorella,Pseudochlorella pringsheimii,1,61,n
NC_036806,554055,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Micractinium,Micractinium conductrix,2,61,n
NC_015359,554065,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella variabilis,3,61,n
CP084607,3076,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sorokiniana,1,61,n
KF661333,1812861,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella thermophila,2,61,n
JX193469,1212440,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus,1,126,n
AY553213,3075,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Auxenochlorella,Auxenochlorella protothecoides,1,61,n
KM514798,745283,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Dictyosphaerium,Dictyosphaerium ehrenbergianum,2,61,n
KM514780,745283,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Dictyosphaerium,Dictyosphaerium ehrenbergianum,3,61,n
X76084,3188,Viridiplantae,Chlorophyta,Trebouxiophyceae,unknown order,unknown family,Picochlorum,Picochlorum eukaryotum,1,61,n
KY629616,554066,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella heliozoae,1,61,n
MF503480,1812861,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella thermophila,3,61,n
NC_036805,554066,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella heliozoae,2,61,n
KJ612008,1504731,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,unknown genus,Chlorellaceae,1,61,n
KM514774,3082,Viridiplantae,Chlorophyta,Trebouxiophyceae,Watanabeales,unknown family,Chloroidium,Chloroidium saccharophilum,1,61,n
KM514773,3082,Viridiplantae,Chlorophyta,Trebouxiophyceae,Watanabeales,unknown family,Chloroidium,Chloroidium saccharophilum,2,61,n
KM514740,3076,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sorokiniana,2,61,n
NC_025544,163309,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Geminella,Geminella minor,1,61,n
NC_025538,160069,Viridiplantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Gloeotilopsis,Gloeotilopsis sterilis,1,2,n
NC_025535,1065496,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,Neocystis,Neocystis brevis,1,3,n
NC_023835,3076,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sorokiniana,3,61,n
KM462883,163309,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Geminella,Geminella minor,2,61,n
KM462877,160069,Viridiplantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Gloeotilopsis,Gloeotilopsis sterilis,2,2,n
KM462873,1065496,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,Neocystis,Neocystis brevis,2,3,n
MK397012,1418016,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Pseudochloris,Pseudochloris wilhelmii,1,61,n
NC_025547,1418016,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Pseudochloris,Pseudochloris wilhelmii,2,61,n
KM462886,1418016,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Pseudochloris,Pseudochloris wilhelmii,3,61,n
MT645493,53249,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas,1,653,n
MT525291,227,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas carrageenovora,1,653,n
MT515811,874454,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas arabiensis,1,653,n
MT515803,1190813,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas shioyasakiensis,1,653,n
MT515804,570156,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas lipolytica,1,653,n
MT114619,43660,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas undina,1,653,n
MT114618,43659,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas tetraodonis,1,653,n
MT114615,28107,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas espejiana,1,653,n
MT114592,228,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas haloplanktis,1,653,n
MT072128,1348114,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas piratica,1,653,n
MN746259,267375,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas marina,1,653,n
MN746203,288,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas atlantica,1,653,n
MN746198,1081601,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas hodoensis,1,653,n
MK439572,77608,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas distincta,1,653,n
MK439564,394751,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas arctica,1,653,n
MK439561,176102,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas agarivorans,1,653,n
MF401333,50741,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter,1,653,n
MN647537,43657,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas luteoviolacea,1,653,n
MN220613,28109,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas nigrifaciens,1,653,n
MN220612,1840331,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas neustonica,1,653,n
KY468648,928896,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus,Granulosicoccus,1,653,n
KX509816,1871189,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Cycloclasticus,Cycloclasticus endosymbiont,1,653,n
JX530855,172194,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Cycloclasticus,Cycloclasticus,1,653,n
JF969164,1052210,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Bathymodiolus heckerae gill symbiont,1,393,n
KX366658,229410,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomicrobium,Methylomicrobium,1,653,n
KM108710,1337070,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Natronocella,Natronocella,1,653,n
JX570602,54398,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,endosymbiont,1,653,n
AJ536466,218684,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Corethrales,Corethraceae,Corethron,Corethron pennatum,1,151,n
FJ002169,216773,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Corethrales,Corethraceae,Corethron,Corethron hystrix,1,151,n
NC_067957,1398096,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Tenuicylindrus,Tenuicylindrus belgicus,1,151,n
MT896721,265552,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,Coscinodiscus granii,1,151,n
NC_024081,33642,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,Coscinodiscus radiatus,1,151,n
EU580495,449143,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella ralfsii,1,37,n
EU580489,449143,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella ralfsii,2,37,n
AJ319824,163516,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,Leptocylindrus danicus,1,151,n
JN935248,768505,Bacteria,Bacteroidota,Cytophagia,unknown order,unknown family,unknown genus,Cytophagia,1,1,n
CP010552,1705394,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,Candidatus Thioglobus,Candidatus Thioglobus autotrophicus,1,653,n
CP072538,2763517,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,Candidatus Ruthia,Candidatus Ruthia Plio,1,653,n
KF521926,333304,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Bathymodiolusbrevior thioautotrophic gill symbiont,1,653,n
AP012977,1235283,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Abyssogena phaseoliformis symbiont,1,653,n
AB598130,914288,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,gamma proteobacterium intracellular symbiont,1,653,n
AB514584,113267,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Bathymodiolus septemdierum thioautotrophic gill symbiont,1,653,n
FJ899927,641564,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Vesicomya endosymbiont,1,653,n
AF035724,72604,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Calyptogena phaseoliformis gill symbiont,1,653,n
MN136517,363572,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Bathymodiolus marisindicus thioautotrophic gill symbiont,1,653,n
OX044368,1118065,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,PS clade,1,393,n
FN822779,762839,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,thiotrophic endosymbiont,1,393,n
CP024634,2360,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Bathymodiolus thermophilus thioautotrophic gill symbiont,1,653,n
LN871183,235205,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Bathymodiolus azoricus thioautotrophic gill symbiont,1,653,n
KF521929,363574,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Bathymodiolusthermophilus thioautotrophic gill symbiont,1,653,n
KF521927,363573,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Bathymodiolus brevior thioautotrophic gill symbiont,1,653,n
JX090158,1289938,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,bacterium endosymbiont,1,393,n
AB679347,1114176,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,thioautotrophic extracellular symbiont,1,393,n
JF969170,1052209,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Bathymodiolus brooksi thiotrophic gill symbiont,1,653,n
JF969166,1052212,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Bathymodiolus heckerae thiotrophic gill symbiont,1,393,n
AB479078,596091,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Calyptogena KT symbiont,1,653,n
AB250700,373055,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Bathymodiolus hirtus thiotrophic gill symbiont,1,653,n
EU403434,211076,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Vesicomyasymbiont,1,653,n
AM236331,377144,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,thiotrophic bacterial endosymbiont,1,393,n
AY235677,235206,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Bathymodiolus puteoserpentis thioautotrophic gill symbiont,1,653,n
AB042413,125581,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,gill thioautotrophic symbiont,1,653,n
AF035722,72602,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Calyptogena Florida gill symbiont,1,653,n
CP054490,2738852,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,Candidatus Ruthia,Candidatus Ruthia endofausta,1,653,n
MN136511,2729361,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,thiotrophic gill symbiont,1,653,n
CP072534,2763516,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,Candidatus Ruthia,Candidatus Ruthia Crec,1,653,n
KF521931,363576,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,thioautotrophic gill symbiont,1,653,n
KC904238,1380737,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,thitrophic symbiont,1,393,n
AP013043,1235284,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Isorropodon fossajaponicum endosymbiont,1,653,n
AB642238,596092,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Pliocardia stearnsii symbiont,1,393,n
AB479081,596094,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Calyptogena fausta symbiont,1,393,n
AB479080,596093,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Calyptogena nautilei symbiont,1,393,n
AM851093,434079,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,gill symbiont,1,653,n
AJ441191,191832,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,endosymbiont 'Makran',1,393,n
CP072533,2763515,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,Candidatus Ruthia,Candidatus Ruthia,1,653,n
KF657323,1405520,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,bacterium thiotrophic symbiont,1,393,n
JQ712442,120858,Bacteria,Pseudomonadota,Epsilonproteobacteria,unknown order,unknown family,unknown genus,Epsilonproteobacteria,1,2,n
FR715580,909825,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,gamma proteobacterium symbiont,1,653,n
AB539010,702137,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,thioautotrophic intracellular symbiont,1,393,n
AB499796,644213,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Bathymodiolus gill symbiont,1,653,n
MG755797,2219035,Eukaryota,Bacillariophyta,Mediophyceae,Anaulales,Anaulaceae,Eunotogramma,Eunotogramma,1,54,n
NC_066076,2018706,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula tsukamotoi,1,128,n
KU173758,310071,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,unknown family,unknown genus,Acidimicrobiales,1,2,n
KU173739,310071,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,unknown family,unknown genus,Acidimicrobiales,2,2,n
MW961624,2501589,Bacteria,Actinomycetota,Actinomycetes,Candidatus Actinomarinales,unknown family,unknown genus,Candidatus Actinomarinales,1,13,n
MW961620,2501589,Bacteria,Actinomycetota,Actinomycetes,Candidatus Actinomarinales,unknown family,unknown genus,Candidatus Actinomarinales,2,13,n
ON028368,2578121,Bacteria,Actinomycetota,Actinomycetes,Candidatus Actinomarinales,Candidatus Actinomarinaceae,Candidatus Actinomarina,Candidatus Actinomarina,1,13,n
KC006262,152507,Bacteria,Actinomycetota,Actinomycetes,unknown order,unknown family,unknown genus,Actinomycetes,2,13,n
JF488172,1010172,Bacteria,Actinomycetota,Actinomycetes,unknown order,unknown family,unknown genus,actinobacterium,1,13,n
GQ472829,38145,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Grampositive,1,393,n
HQ161885,100235,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,unknown family,unknown genus,actinomycete,1,13,n
MT397217,1926288,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Noviherbaspirillum,1,412,n
MT397209,1224511,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Noviherbaspirillum suwonense,1,412,n
OM827375,1871070,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,unknown genus,Oxalobacteraceae,1,412,n
KF851143,160236,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum,1,412,n
JX458421,1341514,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Oxalobacter,1,412,n
LN735315,420275,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Attheyaceae,Attheya,Attheya septentrionalis,1,151,n
MN276191,210602,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Staurosiraceae,Nanofrustulum,Nanofrustulum shiloi,1,37,n
KY498710,1407122,Eukaryota,Foraminifera,unknown class,Rotaliida,Elphidiidae,Elphidium,Elphidium crispum,1,393,n
LN735395,1606595,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca,1,128,n
NC_061047,1881117,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia traheaformis,1,128,n
MN381951,2606218,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Maritimibacter,Maritimibacter harenae,1,272,n
LR722720,696762,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Planktotalea,Planktotalea frisia,1,272,n
KY234244,576117,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Celeribacter,Celeribacter halophilus,1,272,n
KT185147,1673015,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Pseudoruegeria,Pseudoruegeria,1,272,n
KP172216,1631233,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Planktotalea,Planktotalea,1,272,n
OP318062,1979401,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassobius,Thalassobius,1,272,n
MT406519,1510458,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Aliiruegeria,Aliiruegeria sabulilitoris,1,272,n
MZ277402,2836868,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Maritimibacter,Maritimibacter dapengensis,1,272,n
NR_116721,588602,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Celeribacter,Celeribacter neptunius,1,272,n
MT626473,571298,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Aliiruegeria,Aliiruegeria lutimaris,1,272,n
MN492596,404236,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Maritimibacter,Maritimibacter alkaliphilus,1,272,n
MH044653,154981,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aliiroseovarius,Aliiroseovarius crassostreae,1,272,n
NR_163664,2058287,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aestuariibius,Aestuariibius insulae,1,272,n
MG456786,1930619,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Salinovum,Salinovum,1,272,n
KY770452,2003363,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Maritimibacter,Maritimibacter,1,272,n
KY770275,2003362,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseibacterium,Roseibacterium,1,272,n
NR_159242,2029103,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Actibacterium,Actibacterium pelagium,1,272,n
LN827742,400530,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Oceanicola,Oceanicola,1,272,n
KJ513741,293344,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius,1,272,n
NR_137409,1526570,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sinisalibacter,Sinisalibacter lacisalsi,1,272,n
MZ263095,1914027,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Marimonas,Marimonas,1,272,n
MW828566,1795305,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Marimonas,Marimonas arenosa,1,272,n
MW440552,1969459,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Litoreibacter,Litoreibacter,1,272,n
MT830125,1872442,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aliiroseovarius,Aliiroseovarius,1,272,n
FN811297,756725,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,unknown genus,Rhodobacteraceae bacterium prb,1,272,n
NR_115900,252302,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Oceanicola,Oceanicola granulosus,1,272,n
AF259624,126076,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,unknown genus,Rhodobacter group,1,272,n
MN880433,2692236,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassobius,Thalassobius mangrovi,1,272,n
CP045420,2587842,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Maribius,Maribius,1,272,n
MH997490,1958943,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Puniceibacterium,Puniceibacterium,1,272,n
MK685209,2562279,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudooceanicola,Pseudooceanicola onchidii,1,272,n
MK377260,1890673,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Celeribacter,Celeribacter,1,272,n
