scientificName,taxonID,taxonRank,kingdom,phylum,class,order,family,genus,species,province
Cirratulus spectabilis,332688,Species,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirratulus,Cirratulus spectabilis,California Current
Aricidea (Acmira) lopezi,333036,Species,Animalia,Annelida,Polychaeta,NA,Paraonidae,Aricidea,Aricidea (Acmira) lopezi,California Current
Linopherus abyssalis,333831,Species,Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Linopherus,Linopherus abyssalis,California Current
Notoproctus pacificus,334247,Species,Animalia,Annelida,Polychaeta,NA,Maldanidae,Notoproctus,Notoproctus pacificus,California Current
Spirobranchus spinosus,334836,Species,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,Spirobranchus spinosus,California Current
Tharyx parvus,334924,Species,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Tharyx,Tharyx parvus,California Current
Hesionura coineaui difficilis,335789,Subspecies,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Hesionura,Hesionura coineaui,California Current
Chaetoparia careyi,339498,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Chaetoparia,Chaetoparia careyi,California Current
Aetideus truncatus,346078,Species,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus,Aetideus truncatus,California Current
Lepeophtheirus spatha,352781,Species,Animalia,Arthropoda,Copepoda,Siphonostomatoida,Caligidae,Lepeophtheirus,Lepeophtheirus spatha,California Current
Tetragoniceps pacificus,362163,Species,Animalia,Arthropoda,Copepoda,Harpacticoida,Tetragonicipitidae,Tetragoniceps,Tetragoniceps pacificus,California Current
Enallopaguropsis guatemoci,366327,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Enallopaguropsis,Enallopaguropsis guatemoci,California Current
Pseudarchaster alascensis,370831,Species,Animalia,Echinodermata,Asteroidea,Paxillosida,Pseudarchasteridae,Pseudarchaster,Pseudarchaster alascensis,California Current
Paralomis verrilli,378132,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralomis,Paralomis verrilli,California Current
Pentacheles laevis,382979,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Polychelidae,Pentacheles,Pentacheles laevis,California Current
Tripoplax abyssicola,386093,Species,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Tripoplax,Tripoplax abyssicola,California Current
Tripoplax cowani,386102,Species,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Tripoplax,Tripoplax cowani,California Current
Nebalia daytoni,390565,Species,Animalia,Arthropoda,Malacostraca,Leptostraca,Nebaliidae,Nebalia,Nebalia daytoni,California Current
Desulfonauticus,394176,Genus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonauticus,NA,California Current
Kineosporiaceae,394442,Family,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,NA,NA,California Current
Asteromphalus sarcophagus,394598,Species,Chromista,Ochrophyta,Bacillariophyceae,Asterolamprales,Asterolampraceae,Asteromphalus,Asteromphalus sarcophagus,California Current
Nucella canaliculata,404205,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,Nucella canaliculata,California Current
Luzonia chilensis,408138,Species,Animalia,Mollusca,Bivalvia,NA,Cuspidariidae,Luzonia,Luzonia chilensis,California Current
Maxwellia gemma,408591,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Maxwellia,Maxwellia gemma,California Current
Dictyophimus crisiae,412993,Species,Chromista,Radiozoa,Polycystina,Nassellaria,Theoperidae,Dictyophimus,Dictyophimus crisiae,California Current
Tegula,413467,Genus,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,NA,California Current
Hemiproto,415461,Genus,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Hemiproto,NA,California Current
Neaeromya compressa,423550,Species,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Neaeromya,Neaeromya compressa,California Current
Bathymedon covilhani,428594,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Bathymedon,Bathymedon covilhani,California Current
Tritella laevis,431099,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Tritella,Tritella laevis,California Current
Crockerella crystallina,433438,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Clathurellidae,Crockerella,Crockerella crystallina,California Current
Crockerella scotti,433445,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Clathurellidae,Crockerella,Crockerella scotti,California Current
Mitromorpha gracilior,435259,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitromorphidae,Mitromorpha,Mitromorpha gracilior,California Current
Metacarcinus anthonyi,440385,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus anthonyi,California Current
Pinnixa scamit,445061,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,Pinnixa scamit,California Current
Myzozoa,450030,Phylum,Chromista,Myzozoa,NA,NA,NA,NA,NA,California Current
Zeugophilomedes oblongatus,451274,Species,Animalia,Arthropoda,Ostracoda,Myodocopida,Philomedidae,Zeugophilomedes,Zeugophilomedes oblongatus,California Current
Acetabulastoma californica,462114,Species,Animalia,Arthropoda,Ostracoda,Podocopida,Paradoxostomatidae,Acetabulastoma,Acetabulastoma californica,California Current
Pectocythere tomalensis,462366,Species,Animalia,Arthropoda,Ostracoda,Podocopida,Pectocytheridae,Pectocythere,Pectocythere tomalensis,California Current
Cancellaria cooperii,464699,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Cancellaria,Cancellaria cooperii,California Current
Nonionoides turgidus,466471,Species,Chromista,Foraminifera,Globothalamea,Rotaliida,Nonionidae,Nonionoides,Nonionoides turgidus,California Current
Anapronoe reinhardti,488596,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Anapronoidae,Anapronoe,Anapronoe reinhardti,California Current
Aoroides columbiae,488680,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Aoroides,Aoroides columbiae,California Current
Cubotholus,493671,Genus,Chromista,Radiozoa,Polycystina,Spumellaria,Tholoniidae,Cubotholus,NA,California Current
Modiolus rectus,506105,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,Modiolus rectus,California Current
Musculus pygmaeus,506144,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,Musculus pygmaeus,California Current
Megalomphalus schmiederi,510044,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vanikoridae,Megalomphalus,Megalomphalus schmiederi,California Current
Scypholanceola agassizi,510160,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Lanceolidae,Scypholanceola,Scypholanceola agassizi,California Current
Dissiminassa dissimilis,510681,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Dissiminassa,Dissiminassa dissimilis,California Current
Crangon handi,515548,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon handi,California Current
Lirularia succincta,528721,Species,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Lirularia,Lirularia succincta,California Current
Chiridota albatrossii,528864,Species,Animalia,Echinodermata,Holothuroidea,Apodida,Chiridotidae,Chiridota,Chiridota albatrossii,California Current
Pacifoculodes barnardi,547135,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Pacifoculodes,Pacifoculodes barnardi,California Current
Rhabdosoma armatum,547495,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Oxycephalidae,Rhabdosoma,Rhabdosoma armatum,California Current
Gracilipleustes monocuspis,549771,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Pleustidae,Gracilipleustes,Gracilipleustes monocuspis,California Current
Thalassionema frauenfeldii,555052,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,Thalassionema frauenfeldii,California Current
Porphyromonas,559869,Genus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA,California Current
Tringa semipalmata,567466,Species,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa semipalmata,California Current
Alkanindiges,570930,Genus,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,NA,California Current
Proteus,571266,Genus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Proteus,NA,California Current
Tetragenococcus,571275,Genus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Tetragenococcus,NA,California Current
Megamonas,571507,Genus,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megamonas,NA,California Current
Calyptogena extenta,606449,Species,Animalia,Mollusca,Bivalvia,Venerida,Vesicomyidae,Calyptogena,Calyptogena extenta,California Current
Lepas (Lepas) anatifera,733346,Species,Animalia,Arthropoda,Thecostraca,Scalpellomorpha,Lepadidae,Lepas,Lepas (Lepas) anatifera,California Current
Armatobalanus nefrens,733471,Species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Armatobalanus,Armatobalanus nefrens,California Current
Raspailia (Raspaxilla) hymani,741368,Species,Animalia,Porifera,Demospongiae,Axinellida,Raspailiidae,Raspailia,Raspailia (Raspaxilla) hymani,California Current
Caulleryaspis fauchaldi,743969,Species,Animalia,Annelida,Polychaeta,Terebellida,Sternaspidae,Caulleryaspis,Caulleryaspis fauchaldi,California Current
Ampharete cornuta,744684,Species,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,Ampharete cornuta,California Current
Sarcoptiformes,762062,Order,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,NA,NA,California Current
Hippasteria lepidonotus,762391,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Hippasteria,Hippasteria lepidonotus,California Current
Abyssorchomene gerulicorbis,867593,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,Abyssorchomene gerulicorbis,California Current
Stylochus exiguus,879487,Species,Animalia,Platyhelminthes,NA,Polycladida,Stylochidae,Stylochus,Stylochus exiguus,California Current
Aeolidia loui,880372,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Aeolidia loui,California Current
Hesperaptyxis luteopictus,889636,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Hesperaptyxis,Hesperaptyxis luteopictus,California Current
Trilobatus trilobus,1027267,Species,Chromista,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Trilobatus,Trilobatus trilobus,California Current
Protoptilum nybakkeni,1382837,Species,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Protoptilidae,Protoptilum,Protoptilum nybakkeni,California Current
Chaetopterus dewysee,1445033,Species,Animalia,Annelida,Polychaeta,NA,Chaetopteridae,Chaetopterus,Chaetopterus dewysee,California Current
Euphrosinidae,961,Family,Animalia,Annelida,Polychaeta,Amphinomida,Euphrosinidae,NA,NA,California Current
Alopias superciliosus,105835,Species,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Alopias superciliosus,California Current
Chrysopetalidae,944,Family,Animalia,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,NA,NA,California Current
Flabellulidae,1328,Family,Protozoa,Amoebozoa,Tubulinea,Leptomyxida,Flabellulidae,NA,NA,California Current
Perciformes,11014,Order,Animalia,Chordata,Teleostei,Perciformes,NA,NA,NA,California Current
Cryptomonadaceae,17644,Family,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,NA,NA,California Current
Carinariidae,22998,Family,Animalia,Mollusca,Gastropoda,Littorinimorpha,Carinariidae,NA,NA,California Current
Sicyonis,100715,Genus,Animalia,Cnidaria,Anthozoa,Actiniaria,Sicyonidae,Sicyonis,NA,California Current
Ampeliscidae,101364,Family,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,NA,NA,California Current
Gammarus,101537,Genus,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,NA,California Current
Oediceroides,101697,Genus,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Oediceroides,NA,California Current
Paraphoxus oculatus,102986,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Paraphoxus,Paraphoxus oculatus,California Current
Pseudharpinia excavata,102993,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Pseudharpinia,Pseudharpinia excavata,California Current
Didemnidae,103439,Family,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,NA,NA,California Current
Undeuchaeta major,104342,Species,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Undeuchaeta,Undeuchaeta major,California Current
Euchaeta acuta,104550,Species,Animalia,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,Euchaeta acuta,California Current
Flaccisagitta,105406,Genus,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Flaccisagitta,NA,California Current
Hydrolagus,105734,Genus,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,NA,California Current
Cestum veneris,106363,Species,Animalia,Ctenophora,Tentaculata,Cestida,Cestidae,Cestum,Cestum veneris,California Current
Charistephane fugiens,106375,Species,Animalia,Ctenophora,Tentaculata,Cydippida,Mertensiidae,Charistephane,Charistephane fugiens,California Current
Paguroidea,106687,Superfamily,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,California Current
Hymenodora acanthitelsonis,107589,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Hymenodora,Hymenodora acanthitelsonis,California Current
Prorocentrales,109396,Order,Chromista,Myzozoa,Dinophyceae,Prorocentrales,NA,NA,NA,California Current
Kofoidinium,109499,Genus,Chromista,Myzozoa,Dinophyceae,Noctilucales,Kofoidiniaceae,Kofoidinium,NA,California Current
Echiuroidea,110342,Order,Animalia,Annelida,Polychaeta,Echiuroidea,NA,NA,NA,California Current
Leuconidae,110382,Family,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,NA,NA,California Current
Barentsia,111795,Genus,Animalia,Entoprocta,NA,NA,Barentsiidae,Barentsia,NA,California Current
Stilostomella fistuca,113023,Species,Chromista,Foraminifera,Nodosariata,Nodosariida,Stilostomellidae,Stilostomella,Stilostomella fistuca,California Current
Botrynema,117107,Genus,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Halicreatidae,Botrynema,NA,California Current
Plumularia,117196,Genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,NA,California Current
Synidotea,118456,Genus,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Synidotea,NA,California Current
Amblyops abbreviatus,119941,Species,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Amblyops,Amblyops abbreviatus,California Current
Amoeba,120533,Genus,Protozoa,Amoebozoa,Tubulinea,Euamoebida,Amoebidae,Amoeba,NA,California Current
Oerstedia dorsalis,122817,Species,Animalia,Nemertea,Hoplonemertea,Monostilifera,Oerstediidae,Oerstedia,Oerstedia dorsalis,California Current
Crassonemertes robusta,122849,Species,Animalia,Nemertea,Hoplonemertea,Polystilifera,Planktonemertidae,Crassonemertes,Crassonemertes robusta,California Current
Cheiraster,123240,Genus,Animalia,Echinodermata,Asteroidea,Notomyotida,Benthopectinidae,Cheiraster,NA,California Current
Evoplosoma,123293,Genus,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Evoplosoma,NA,California Current
Amphiura,123613,Genus,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiura,NA,California Current
Gorgoniidae,125275,Family,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,NA,NA,California Current
Argentinidae,125508,Family,Animalia,Chordata,Actinopteri,Argentiniformes,Argentinidae,NA,NA,California Current
Mycteroperca,126069,Genus,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Mycteroperca,NA,California Current
Pachycara,126107,Genus,Animalia,Chordata,Actinopteri,Perciformes,Zoarcidae,Pachycara,NA,California Current
Derichthys serpentinus,126291,Species,Animalia,Chordata,Actinopteri,Anguilliformes,Derichthyidae,Derichthys,Derichthys serpentinus,California Current
Benthosema suborbitale,126581,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Benthosema,Benthosema suborbitale,California Current
Myctophum selenops,126628,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Myctophum,Myctophum selenops,California Current
Polyacanthonotus challengeri,126644,Species,Animalia,Chordata,Actinopteri,Notacanthiformes,Notacanthidae,Polyacanthonotus,Polyacanthonotus challengeri,California Current
Rouleina attrita,126709,Species,Animalia,Chordata,Actinopteri,Alepocephaliformes,Alepocephalidae,Rouleina,Rouleina attrita,California Current
Ammodytes tobianus,126752,Species,Animalia,Chordata,Actinopteri,Perciformes,Ammodytidae,Ammodytes,Ammodytes tobianus,California Current
Melamphaes suborbitalis,127270,Species,Animalia,Chordata,Actinopteri,Beryciformes,Melamphaidae,Melamphaes,Melamphaes suborbitalis,California Current
Mikroconchoecia stigmatica,127823,Species,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Mikroconchoecia,Mikroconchoecia stigmatica,California Current
Macrochaeta,129141,Genus,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,Macrochaeta,NA,California Current
Chloeia,129184,Genus,Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Chloeia,NA,California Current
Podarkeopsis,129319,Genus,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis,NA,California Current
Euclymene,129347,Genus,Animalia,Annelida,Polychaeta,NA,Maldanidae,Euclymene,NA,California Current
Lepidasthenia,129495,Genus,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidasthenia,NA,California Current
Bispira,129523,Genus,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Bispira,NA,California Current
Paradoneis eliasoni,130581,Species,Animalia,Annelida,Polychaeta,NA,Paraonidae,Paradoneis,Paradoneis eliasoni,California Current
Paradoneis lyra,130585,Species,Animalia,Annelida,Polychaeta,NA,Paraonidae,Paradoneis,Paradoneis lyra,California Current
Spiophanes wigleyi,131190,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,Spiophanes wigleyi,California Current
Syllides longocirratus,131411,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllides,Syllides longocirratus,California Current
Hyalonematidae,131684,Family,Animalia,Porifera,Hexactinellida,Amphidiscosida,Hyalonematidae,NA,NA,California Current
Higginsia,131793,Genus,Animalia,Porifera,Demospongiae,Axinellida,Stelligeridae,Higginsia,NA,California Current
Paraphyllina,135251,Genus,Animalia,Cnidaria,Scyphozoa,Coronatae,Paraphyllinidae,Paraphyllina,NA,California Current
Caligus bonito,135745,Species,Animalia,Arthropoda,Copepoda,Siphonostomatoida,Caligidae,Caligus,Caligus bonito,California Current
Chlidonias niger,137137,Species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,Chlidonias niger,California Current
Aclis,137614,Genus,Animalia,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Aclis,NA,California Current
Melanella,137978,Genus,Animalia,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Melanella,NA,California Current
Opisthoteuthis,138294,Genus,Animalia,Mollusca,Cephalopoda,Octopoda,Opisthoteuthidae,Opisthoteuthis,NA,California Current
Cuthona,138543,Genus,Animalia,Mollusca,Gastropoda,Nudibranchia,Cuthonidae,Cuthona,NA,California Current
Aeolidia papillosa,138709,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Aeolidia papillosa,California Current
Yoldiella nana,142004,Species,Animalia,Mollusca,Bivalvia,Nuculanida,Yoldiidae,Yoldiella,Yoldiella nana,California Current
Leptoplanidae,142062,Family,Animalia,Platyhelminthes,NA,Polycladida,Leptoplanidae,NA,NA,California Current
Stylochoplana,142249,Genus,Animalia,Platyhelminthes,NA,Polycladida,Stylochoplanidae,Stylochoplana,NA,California Current
Thalassiosira rotula,148942,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,California Current
Chaetoceros decipiens,149126,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros decipiens,California Current
Psamathe,152248,Genus,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Psamathe,NA,California Current
Duplacrorhynchus minor,155062,Species,Animalia,Platyhelminthes,NA,Rhabdocoela,Polycystididae,Duplacrorhynchus,Duplacrorhynchus minor,California Current
Polynoinae,155091,Subfamily,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,NA,NA,California Current
Gersemia fruticosa,156101,Species,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Alcyoniidae,Gersemia,Gersemia fruticosa,California Current
Dinobryon,157240,Genus,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,NA,California Current
Lampanyctus nobilis,158897,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Lampanyctus,Lampanyctus nobilis,California Current
Branta canadensis,159176,Species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta canadensis,California Current
Diplectrum,159349,Genus,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Diplectrum,NA,California Current
Dorosoma cepedianum,159600,Species,Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Dorosoma,Dorosoma cepedianum,California Current
Protoperidinium cerasus,162749,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium cerasus,California Current
Forcepia (Forcepia) hymena,168866,Species,Animalia,Porifera,Demospongiae,Poecilosclerida,Coelosphaeridae,Forcepia,Forcepia (Forcepia) hymena,California Current
Plakina bioxea,169732,Species,Animalia,Porifera,Homoscleromorpha,Homosclerophorida,Plakinidae,Plakina,Plakina bioxea,California Current
Stelletta estrella,169931,Species,Animalia,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stelletta,Stelletta estrella,California Current
Polymastia pachymastia,170652,Species,Animalia,Porifera,Demospongiae,Polymastiida,Polymastiidae,Polymastia,Polymastia pachymastia,California Current
Acanthascus,171966,Genus,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,NA,California Current
Nitzschia pungens f. multiseries,175739,Forma,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia pungens,California Current
Eudorella redacticruris,182293,Species,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,Eudorella,Eudorella redacticruris,California Current
Anous stolidus,212629,Species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Anous,Anous stolidus,California Current
Podocerus brasiliensis,214744,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Podoceridae,Podocerus,Podocerus brasiliensis,California Current
Pegasus volitans,218163,Species,Animalia,Chordata,Actinopteri,Dactylopteriformes,Pegasidae,Pegasus,Pegasus volitans,California Current
Kyphosus vaigiensis,218706,Species,Animalia,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Kyphosus,Kyphosus vaigiensis,California Current
Pulleniatina obliquiloculata,221331,Species,Chromista,Foraminifera,Globothalamea,Rotaliida,Pulleniatinidae,Pulleniatina,Pulleniatina obliquiloculata,California Current
Caulibugula,225832,Genus,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Caulibugula,NA,California Current
Chattonella marina,233780,Species,Chromista,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,Chattonella marina,California Current
Nyctiphanes simplex,237864,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Nyctiphanes,Nyctiphanes simplex,California Current
Callipallene pacifica,239404,Species,Animalia,Arthropoda,Pycnogonida,Pantopoda,Callipallenidae,Callipallene,Callipallene pacifica,California Current
Amphiodia akosmos,242647,Species,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,Amphiodia akosmos,California Current
Bacteriastrum comosum,248066,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,Bacteriastrum comosum,California Current
Bathyagonus infraspinatus,254504,Species,Animalia,Chordata,Actinopteri,Perciformes,Agonidae,Bathyagonus,Bathyagonus infraspinatus,California Current
Bryozoichthys marjorius,254575,Species,Animalia,Chordata,Actinopteri,Perciformes,Stichaeidae,Bryozoichthys,Bryozoichthys marjorius,California Current
Chone mollis,254730,Species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,Chone mollis,California Current
Nephtys punctata,254751,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys punctata,California Current
Mothocya gilli,256817,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Cymothoidae,Mothocya,Mothocya gilli,California Current
Paracerceis sculpta,261827,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Paracerceis,Paracerceis sculpta,California Current
Saccoglossus pusillus,266565,Species,Animalia,Hemichordata,Enteropneusta,[unassigned] Enteropneusta,Harrimaniidae,Saccoglossus,Saccoglossus pusillus,California Current
Urobatis,271193,Genus,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Urotrygonidae,Urobatis,NA,California Current
Apogon pacificus,273065,Species,Animalia,Chordata,Actinopteri,Kurtiformes,Apogonidae,Apogon,Apogon pacificus,California Current
Thalassoma lucasanum,273584,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Thalassoma,Thalassoma lucasanum,California Current
Scomberomorus sierra,273821,Species,Animalia,Chordata,Actinopteri,Scombriformes,Scombridae,Scomberomorus,Scomberomorus sierra,California Current
Sphyraena lucasana,273982,Species,Animalia,Chordata,Actinopteri,Carangaria incertae sedis,Sphyraenidae,Sphyraena,Sphyraena lucasana,California Current
Liparis cyclopus,274509,Species,Animalia,Chordata,Actinopteri,Perciformes,Liparidae,Liparis,Liparis cyclopus,California Current
Melamphaes janae,274929,Species,Animalia,Chordata,Actinopteri,Beryciformes,Melamphaidae,Melamphaes,Melamphaes janae,California Current
Argyropelecus olfersii,274967,Species,Animalia,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Argyropelecus,Argyropelecus olfersii,California Current
Gobiesox eugrammus,275669,Species,Animalia,Chordata,Actinopteri,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox eugrammus,California Current
Cynoscion parvipinnis,276085,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Cynoscion,Cynoscion parvipinnis,California Current
Diplectrum sciurus,276186,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Diplectrum,Diplectrum sciurus,California Current
Eucinostomus entomelas,276418,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Gerreidae,Eucinostomus,Eucinostomus entomelas,California Current
Eptatretus mcconnaugheyi,279287,Species,Animalia,Chordata,Myxini,Myxiniformes,Myxinidae,Eptatretus,Eptatretus mcconnaugheyi,California Current
Sigmops ebelingi,279335,Species,Animalia,Chordata,Actinopteri,Stomiiformes,Gonostomatidae,Sigmops,Sigmops ebelingi,California Current
